,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
27,04-2103597,Massachusetts Society for the Prevention of Cruelty To Animals,BOSTON,MA,1653557366000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,,,,1.0,,16.0,,,,,12.0,5.0,,,,,17.0,,,2.0,15.0,,,,17.0,,,5.0,,,,,,,5.0,,,,,3.0,2.0,,,,,5.0,,,,5.0,,,,5.0,,,679.0,37.0,17.0,39.0,,2.0,,564.0,19.0,,1.0,,580.0,99.0,,,,,,,,,,,,39.0,555.0,85.0,,393661.8333333333,466834.8,15.674274211491232,0.45454545454545453,0.5454545454545454,64618.35260770975,727391.0,61689532.0,WWW.MSPCA.ORG,893,95955811.0
31,04-2103979,Catholic Charities Diocese of Worcester Inc,Worcester,MA,1681084800000000000,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,8.0,,,,8.0,,,,8.0,,,,8.0,,250.0,,,,,,,,,,250.0,,,,,250.0,,,,,,,,250.0,,,,250.0,,0.0,152052.0,100.0,1.0,0.0,18468.16515837104,152052.0,8314981.0,WWW.CCWORC.ORG,443,11466472.0
32,04-2104057,Bridges Homeward Inc,CAMBRIDGE,MA,1690934400000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,1.0,3.0,1.0,,,,14.0,,,,,14.0,5.0,,,,,,,,,,,,,,,,7.0,,2.0,,,,,5.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,55.0,1.0,5.0,,14.0,0.0,0.0,23.0,4.0,,1.0,7.0,42.0,5.0,1.0,1.0,6.0,,,,,8.0,41.0,,6.0,3.0,43.0,3.0,6.0,0.0,207076.0,100.0,1.0,0.0,31544.407142857144,207076.0,4623293.0,WWW.BRIDGESHOMEWARD.ORG,141,7257009.0
34,04-2104754,Child & Family Services Inc,New Bedford,MA,1642672564000000000,White/Caucasian/European,Female,,,,,,,,,12.0,0.0,3.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,5.0,7.0,,,,,,,,,,,,1.0,11.0,,,66.0,0.0,5.0,2.0,,0.0,,55.0,4.0,,,,55.0,11.0,,,,,,,,,,,,,,,,456.0,4.0,47.0,41.0,,0.0,,330.0,19.0,,2.0,13.0,,,,,,,,,,,,,,3.0,453.0,,,236318.0,178886.5,-32.10499394867695,0.6666666666666666,0.3333333333333333,41690.74827586207,236318.0,24774725.0,WWW.CHILD-FAMILYSERVICES.ORG,583,37057328.0
35,04-2104757,New England Historic Genealogical Society Inc,BOSTON,MA,1629831231000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,25.0,,,,,,,,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,74.0,,10.0,,,56.0,27.0,1.0,,,,,,,,,,,,,,,155719.0,270899.6666666667,42.51783255547257,0.8571428571428571,0.14285714285714285,71650.10869565218,514865.0,8372927.0,AMERICANANCESTORS.ORG,99,13569592.0
36,04-2105756,Familyaid Boston Inc,Jamaica Plain,MA,1646986912000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,17.0,,2.0,1.0,,,,14.0,,,,,5.0,12.0,,,,0.0,17.0,0.0,0.0,1.0,16.0,,,0.0,17.0,0.0,0.0,5.0,,1.0,1.0,,,,3.0,,,,,4.0,1.0,,,,,5.0,,,1.0,4.0,,0.0,,5.0,,,96.0,3.0,44.0,19.0,,,,30.0,,,,,,,,,96.0,,,,96.0,3.0,,,93.0,6.0,,,90.0,162583.0,203741.0,20.201137718966727,0.3333333333333333,0.6666666666666666,50125.234375,203741.0,6944937.0,WWW.FAMILYAIDBOSTON.ORG,131,14637192.0
37,04-2106173,Carroll Center for the Blind Inc,Newton,MA,1642526580000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,1.0,,,,,17.0,,,,,6.0,12.0,,,,,,,,,,,,2.0,16.0,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,5.0,,,,0.0,5.0,,,5.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,79.0,,,0.0,349306.0,100.0,1.0,0.0,37940.44852941176,349306.0,5509207.0,WWW.CARROLL.ORG,137,7857415.0
38,04-2106765,Morgan Memorial Goodwill Industries Inc,Roxbury,MA,1683590400000000000,White/Caucasian/European,Female,,,,,,,,,12.0,1.0,2.0,1.0,,,,8.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,5.0,,483.0,16.0,147.0,113.0,,1.0,,191.0,14.0,,1.0,,313.0,170.0,,,,,,,,,,,,46.0,415.0,22.0,,362349.3333333333,202177.0,-79.22381543564961,0.5,0.5,27822.558983666062,625717.0,17023809.0,WWW.GOODWILLMASS.ORG,557,36409751.0
39,04-2171186,Walker Inc,Needham,MA,1675296000000000000,Asian/Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,,,,5.0,0.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,5.0,,254.0,6.0,53.0,23.0,,2.0,,135.0,5.0,,30.0,,,,,,,,,,,,,,,14.0,56.0,184.0,,196828.6,251221.0,21.651215463675406,0.2857142857142857,0.7142857142857143,36931.67175572519,351187.0,16000732.0,WWW.WALKERCARES.ORG,400,27525942.0
40,04-2226199,The Arc of Opportunity in North Central Massachusetts Inc,Fitchburg,MA,1679443200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,10.0,,,,,,,9.0,1.0,,,,3.0,6.0,1.0,,,,8.0,2.0,,,10.0,,,3.0,7.0,,,6.0,,1.0,,1.0,,,3.0,1.0,,,,3.0,3.0,,,,,6.0,,,,6.0,,,1.0,5.0,,,235.0,2.0,99.0,14.0,,1.0,2.0,54.0,5.0,,12.0,46.0,99.0,107.0,,8.0,21.0,0.0,167.0,24.0,44.0,21.0,135.0,34.0,45.0,11.0,163.0,11.0,50.0,196186.0,0.0,-1.0,0.0,1.0,32600.965699208442,216120.0,12748138.0,arcofopportunity.org,381,18583549.0
46,04-2387225,Boys and Girls Clubs of Metrowest Inc,MARLBOROUGH,MA,1674172800000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Decline to state,,,,,,18.0,1.0,3.0,1.0,,,,13.0,,,,,10.0,8.0,,,,,18.0,,,,,18.0,,,,18.0,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,4.0,,,,,4.0,,,,4.0,,107.0,,21.0,14.0,,,,50.0,22.0,,,,58.0,49.0,,,,,,107.0,,,,107.0,,,,107.0,,0.0,151934.0,100.0,1.0,0.0,14116.93893129771,151934.0,2001253.0,WWW.BGCMETROWEST.ORG,132,3792862.0
47,04-2393108,Charles River Association for Retarded Citizens Inc,Needham,MA,1697760000000000000,White/Caucasian/European,Female,,,Person without a disability,,,,,,16.0,,,,,,,,,,,,6.0,10.0,,,,,,,,,,,,1.0,15.0,,,5.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,5.0,,,522.0,10.0,305.0,19.0,,1.0,,181.0,6.0,,,,,,,,,,,,,,,,,,,,,236787.5,0.0,-1.0,0.0,1.0,39786.15780730897,319040.0,24424842.0,CHARLESRIVERCENTER.ORG,604,32274247.0
48,04-2430193,Willie Ross School for the Deaf Inc,Longmeadow,MA,1687305600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,,,,,,,9.0,,,13.0,,5.0,4.0,,13.0,,,8.0,14.0,,,8.0,14.0,,4.0,4.0,14.0,,7.0,,,,,,,5.0,,,2.0,,3.0,2.0,,2.0,,,1.0,6.0,,,4.0,3.0,,3.0,2.0,2.0,,65.0,2.0,,2.0,,,,22.0,1.0,,38.0,,23.0,2.0,1.0,39.0,,1.0,1.0,63.0,,5.0,19.0,40.0,1.0,7.0,16.0,42.0,,0.0,167022.0,100.0,1.0,0.0,47215.90243902439,167022.0,4038726.0,WWW.WILLIEROSSSCHOOL.ORG,83,4971017.0
49,04-2448579,Hope House Inc,BOSTON,MA,1640082423000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,,,,,,,,,,,2.0,9.0,,,,,,,,,,,,7.0,0.0,,4.0,7.0,,2.0,1.0,,,,3.0,,,,1.0,4.0,3.0,,,,,,,,2.0,,,5.0,4.0,,,3.0,65.0,4.0,24.0,8.0,,1.0,,19.0,2.0,,,7.0,,,,,,,,,,,,,,,,,,0.0,177707.0,100.0,1.0,0.0,55514.666666666664,177707.0,3675131.0,WWW.HOPEHOUSEBOSTON.ORG,64,6395082.0
50,04-2488502,National Consumer Law Center Inc,Boston,MA,1691020800000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,1.0,3.0,2.0,,,,5.0,,,,,6.0,5.0,,,,,11.0,,,,,,,,,,,7.0,,1.0,,,,,6.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,51.0,4.0,2.0,,,,,30.0,1.0,,14.0,,30.0,20.0,1.0,,,,,,,,,,,,,,,198045.25,211719.0,6.4584425582966105,0.5555555555555556,0.4444444444444444,102055.26984126984,266478.0,8280258.0,WWW.NCLC.ORG,72,12110427.0
51,04-2518368,Way Finders Inc,Springfield,MA,1660867200000000000,Black/African American,Male,Not transgender (cisgender),,,,,,,,21.0,,4.0,3.0,,,,12.0,2.0,,,,12.0,9.0,,,,,,,,,,,,,,,,8.0,1.0,4.0,1.0,,,,2.0,,,,,6.0,2.0,,,,,,,,,,,,,,,,297.0,4.0,41.0,151.0,,,,90.0,9.0,,,2.0,212.0,85.0,,,,,,,,,,,,,,,,173238.0,182268.0,4.954243202317467,0.5,0.5,45700.806615776084,235024.0,19026935.0,WWW.WAYFINDERS.ORG,399,168594430.0
52,04-2518575,Bay Cove Human Services Inc,Boston,MA,1667827065000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,2.0,2.0,,,,,16.0,,,,,7.0,13.0,,,,,,,,3.0,17.0,,,,,,,6.0,0.0,0.0,1.0,,0.0,,5.0,,,,,3.0,3.0,,,,,6.0,,,1.0,5.0,,,,6.0,,,1977.0,56.0,1117.0,128.0,,14.0,,555.0,57.0,,50.0,,1318.0,659.0,,,,,,,,,,,,115.0,1222.0,119.0,521.0,213010.33333333334,302635.0,29.61477247068801,0.3333333333333333,0.6666666666666666,44642.94867008866,391676.0,97855806.0,WWW.BAYCOVE.ORG,2152,138026534.0
53,04-2535767,Union of Concerned Scientists Inc,CAMBRIDGE,MA,1655942400000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,,3.0,0.0,,,,16.0,,,,,6.0,13.0,,,,,,,,,,,,,,,,25.0,1.0,,,,,,22.0,2.0,,,,14.0,11.0,,,,,,,,,,,,,,,,234.0,19.0,16.0,19.0,,2.0,,164.0,14.0,,,,153.0,79.0,2.0,,,,,,,,,,,,,,,337331.8333333333,260891.16666666666,-29.299829366907144,0.5,0.5,113832.69264069264,630877.0,29884690.0,WWW.UCSUSA.ORG,243,48698312.0
54,04-2562646,Mystic Valley Elder Services Inc,Malden,MA,1645620848000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,26.0,,1.0,1.0,,,,24.0,,,,,18.0,8.0,,,,,26.0,,,1.0,17.0,,8.0,5.0,,,21.0,11.0,,,,,,,11.0,,,,,9.0,2.0,,,,,11.0,,,,,,11.0,,,,11.0,324.0,20.0,34.0,37.0,,0.0,,231.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,226049.0,232922.33333333334,2.950912106610648,0.75,0.25,51580.346666666665,345888.0,20267446.0,WWW.MVES.ORG,379,94729966.0
57,04-2678774,Codman Square Health Center Inc,DORCHESTER,MA,1572889693000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,1.0,6.0,0.0,,0.0,,7.0,,,,,6.0,8.0,,,,,,,,,,,,,,,,7.0,1.0,3.0,1.0,,0.0,,2.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,316.0,3.0,210.0,13.0,,0.0,,75.0,15.0,,0.0,0.0,267.0,49.0,,,,,,,,,,,,,,,,232515.83333333334,230195.4,-1.0080276727221087,0.45454545454545453,0.5454545454545454,54898.78450363196,355189.0,25219270.0,WWW.CODMAN.ORG,424,56129648.0
59,04-2698497,Planned Parenthood League of Massachusetts Inc,Boston,MA,1698675249000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,,,,,,,,,21.0,2.0,5.0,,,0.0,,12.0,2.0,,,,16.0,3.0,1.0,1.0,,3.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,14.0,17.0,,,1.0,,117.0,13.0,,77.0,10.0,123.0,8.0,10.0,105.0,3.0,,,,,,,,,,,,,239932.75,227487.5,-5.470740150557723,0.3333333333333333,0.6666666666666666,39443.54682779456,411509.0,14470520.0,WWW.PPLM.ORG,337,31439793.0
60,04-2708824,Greater Lawrence Family Health Center Inc,METHUEN,MA,1674604800000000000,Black/African American,Male,,,Person without a disability,,,,,,15.0,,1.0,5.0,,,,9.0,,,,,7.0,7.0,,,1.0,,,,,,,,,,,,,7.0,1.0,1.0,,,,,5.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,740.0,34.0,15.0,439.0,,0.0,,235.0,11.0,,6.0,0.0,626.0,114.0,,,,,,,,,,,,,,,,277114.28571428574,274288.85714285716,-1.030092363525004,0.5,0.5,62096.33049946865,400684.0,62292469.0,WWW.GLFHC.ORG,955,81574063.0
61,04-2730898,Jewish Family Service of Metrowest Inc,FRAMINGHAM,MA,1686787200000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,33.0,1.0,2.0,4.0,1.0,,,23.0,,2.0,,,14.0,19.0,,,,,,,33.0,2.0,29.0,,2.0,,,,,5.0,,,,,,,4.0,1.0,,,,4.0,1.0,,,,,5.0,,,,5.0,,,,5.0,,0.0,70.0,2.0,2.0,33.0,2.0,,,29.0,1.0,1.0,,,62.0,8.0,,,,,,,,2.0,48.0,,20.0,2.0,,,68.0,0.0,247316.0,100.0,1.0,0.0,34616.34328358209,247316.0,2566611.0,WWW.JFSMW.ORG,68,5182864.0
63,04-2775991,Metropolitan Boston Housing Partnership Inc,Roxbury Crossing,MA,1676505600000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,25.0,1.0,3.0,5.0,,,,15.0,1.0,,,,13.0,12.0,,,,,,,,,,,,,,,,10.0,0.0,2.0,1.0,,,,7.0,,,,,6.0,4.0,,,,,,,,,,,,,,,,241.0,17.0,79.0,60.0,,,,72.0,13.0,,,,179.0,62.0,,,,,,,,,,,,,,,,156356.0,230454.0,32.15305440565145,0.3333333333333333,0.6666666666666666,62838.28472222222,230454.0,18640592.0,WWW.METROHOUSINGBOSTON.ORG,291,464356613.0
