Unnamed: 0,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
16,26006033,Granite United Way,Manchester,NH,1700870400000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,33.0,6.0606060606060606,,3.0303030303030303,,,,54.54545454545454,,,,12.0,45.45454545454545,54.54545454545454,,,,,,,33.0,,,,33.0,,33.0,,,4.0,,,,,,,,,,,100.0,75.0,25.0,,,,,,,4.0,,,,4.0,,,,4.0,60.0,,,,,,,,,,,100.0,,,,,100.0,,,,60.0,,,,60.0,,,,60.0,0.0,228797.0,100.0,100.0,0.0,50481.0,228797.0,4216796.0,WWW.GRANITEUW.ORG,80,19030593.0,50.0,40.0,50.0,,
19,30284103,Aspire Living & Learning Inc,Barre,VT,1619623919000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,7.0,,14.285714285714285,,,,,85.71428571428571,,,,,57.14285714285714,42.857142857142854,,,,,,,7.0,,7.0,,,,,,7.0,6.0,,,,,,,100.0,,,,,66.66666666666666,33.33333333333333,,,,,,,6.0,1.0,5.0,,,,,,6.0,1200.0,1.7500000000000002,37.416666666666664,5.25,,,,46.75,1.0833333333333335,,7.75,,69.83333333333334,30.166666666666668,,,,,,,1200.0,,,,1200.0,,,,1200.0,163075.83333333334,187420.8,12.989468973916791,45.45454545454545,54.54545454545454,35451.85055230669,224677.0,56475957.0,WWW.ALLINC.ORG,1550,84691072.0,80.0,66.66666666666666,44.44444444444444,40.0,
21,30335768,Tri-Valley Transit Inc,Middlebury,VT,1674000000000000000,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,,,,,,7.0,,,,,,,,,,7.0,,28.57142857142857,71.42857142857143,,,,,,7.0,,,,7.0,,,,7.0,,7.0,,,,,,,100.0,,,,,57.14285714285714,42.857142857142854,,,,,,,,,,,,,,,,60.0,,,1.6666666666666667,,,,91.66666666666666,,,6.666666666666667,,,,,,,,,,,,,,,,,,,0.0,159557.0,100.0,100.0,0.0,51516.01538461538,159557.0,3508098.0,WWW.TRIVALLEYTRANSIT.ORG,66,7100109.0,,50.0,20.0,,
27,42103597,Massachusetts Society for the Prevention of Cruelty To Animals,BOSTON,MA,1653557366000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,,,,5.88235294117647,,94.11764705882352,,,,,70.58823529411765,29.411764705882355,,,,,100.0,,,2.0,15.0,,,,17.0,,,5.0,,,,,,,100.0,,,,,60.0,40.0,,,,,100.0,,,,5.0,,,,5.0,,,679.0,5.44918998527246,2.503681885125184,5.743740795287187,,0.29455081001472755,,83.06332842415317,2.798232695139912,,0.14727540500736377,,85.41973490427098,14.580265095729015,,,,,,,,,,,,39.0,555.0,85.0,,384368.5,477986.8,19.58595927753653,45.45454545454545,54.54545454545454,64618.35260770975,727391.0,61689532.0,WWW.MSPCA.ORG,893,95955811.0,60.0,86.66666666666667,50.0,,
32,42104057,Bridges Homeward Inc,CAMBRIDGE,MA,1690934400000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,5.263157894736842,15.789473684210526,5.263157894736842,,,,73.68421052631578,,,,,73.68421052631578,26.31578947368421,,,,,,,,,,,,,,,,7.0,,28.57142857142857,,,,,71.42857142857143,,,,,71.42857142857143,28.57142857142857,,,,,,,,,,,,,,,,55.0,1.8181818181818181,9.090909090909092,,25.454545454545453,0.0,0.0,41.81818181818181,7.2727272727272725,,1.8181818181818181,12.727272727272727,76.36363636363637,9.090909090909092,1.8181818181818181,1.8181818181818181,10.909090909090908,,,,,8.0,41.0,,6.0,3.0,43.0,3.0,6.0,0.0,207076.0,100.0,100.0,0.0,31544.407142857144,207076.0,4623293.0,WWW.BRIDGESHOMEWARD.ORG,141,7257009.0,,66.66666666666666,55.55555555555556,,
33,42104168,Ellis Early Learning Inc,BOSTON,MA,1699488000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,5.0,20.0,5.0,,,,65.0,5.0,,,,,,,,,,,,,2.0,18.0,,,,,,,9.0,,44.44444444444444,33.33333333333333,,,,22.22222222222222,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,47.0,40.0,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,152234.0,0.0,-1.0,0.0,100.0,31779.0989010989,161075.0,3196366.0,ELLISMEMORIAL.ORG,93,4832643.0,,60.0,83.33333333333334,,
35,42104257,East Boston Social Centers Inc,East Boston,MA,1699574400000000000,White/Caucasian/European,Male,,,Person without a disability,,,,,,17.0,,11.76470588235294,29.411764705882355,,,,58.82352941176471,,,,,47.05882352941176,52.94117647058824,,,,,,,,,,,,,,,,15.0,,6.666666666666667,20.0,,13.333333333333334,,53.333333333333336,6.666666666666667,,,,,,,,,,,,,,,,,,,,,101.0,,2.9702970297029703,72.27722772277228,,,2.9702970297029703,19.801980198019802,1.9801980198019802,,,,88.11881188118812,11.881188118811881,,,,,,,,,,,,,,,,0.0,183604.0,100.0,100.0,0.0,33382.076335877864,183604.0,4556656.0,WWW.EBSOC.ORG,132,8336399.0,50.0,46.66666666666666,33.33333333333333,,
36,42104377,Lawrence Boys Club & Girls Club Inc,Lawrence,MA,1700006400000000000,White/Caucasian/European,Male,,,Person without a disability,,,,,,26.0,3.8461538461538463,3.8461538461538463,11.538461538461538,,,,80.76923076923077,,,,,30.76923076923077,69.23076923076923,,,,,,,,,,,,,,,,6.0,,,16.666666666666664,,,,83.33333333333334,,,,,50.0,50.0,,,,,,,6.0,,,,,,,,,53.0,1.8867924528301887,,39.62264150943396,,,,56.60377358490566,1.8867924528301887,,,,,,,,,,,,,,,,,,,,,0.0,167194.0,100.0,100.0,0.0,28964.1875,167194.0,2020902.0,www.lawrencebgc.com,65,4286609.0,100.0,23.809523809523807,0.0,,
37,42104754,Child & Family Services Inc,New Bedford,MA,1642672564000000000,White/Caucasian/European,Female,,,,,,,,,12.0,0.0,25.0,8.333333333333332,,0.0,,66.66666666666666,0.0,,0.0,0.0,41.66666666666667,58.333333333333336,,,,,,,,,,,,1.0,11.0,,,66.0,0.0,7.575757575757576,3.0303030303030303,,0.0,,83.33333333333334,6.0606060606060606,,,,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,456.0,0.8771929824561403,10.307017543859649,8.991228070175438,,0.0,,72.36842105263158,4.166666666666666,,0.43859649122807015,2.850877192982456,,,,,,,,,,,,,,3.0,453.0,,,207038.0,180015.0,-15.011526817209678,33.33333333333333,66.66666666666666,41690.74827586207,236318.0,24774725.0,WWW.CHILD-FAMILYSERVICES.ORG,583,37057328.0,60.0,44.44444444444444,33.33333333333333,,
38,42104757,New England Historic Genealogical Society Inc,BOSTON,MA,1629831231000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,25.0,,,,,,,,,,,,40.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,88.09523809523809,,11.904761904761903,,,66.66666666666666,32.142857142857146,1.1904761904761905,,,,,,,,,,,,,,,335292.0,222106.6,-50.95994445910207,71.42857142857143,28.57142857142857,71650.10869565218,514865.0,8372927.0,AMERICANANCESTORS.ORG,99,13569592.0,40.0,44.44444444444444,33.33333333333333,,
39,42105756,Familyaid Boston Inc,Jamaica Plain,MA,1646986912000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,17.0,,11.76470588235294,5.88235294117647,,,,82.35294117647058,,,,,29.411764705882355,70.58823529411765,,,,0.0,100.0,0.0,0.0,1.0,16.0,,,0.0,17.0,0.0,0.0,5.0,,20.0,20.0,,,,60.0,,,,,80.0,20.0,,,,,100.0,,,1.0,4.0,,0.0,,5.0,,,96.0,3.125,45.83333333333333,19.791666666666664,,,,31.25,,,,,,,,,100.0,,,,96.0,3.0,,,93.0,6.0,,,90.0,162583.0,203741.0,20.201137718966727,33.33333333333333,66.66666666666666,50125.234375,203741.0,6944937.0,WWW.FAMILYAIDBOSTON.ORG,131,14637192.0,50.0,33.33333333333333,57.14285714285714,,
40,42106173,Carroll Center for the Blind Inc,Newton,MA,1642526580000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,5.555555555555555,,,,,94.44444444444444,,,,,33.33333333333333,66.66666666666666,,,,,,,,,,,,2.0,16.0,,,5.0,,,,,,,100.0,,,,,40.0,60.0,,,,,100.0,,,,0.0,5.0,,,5.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,79.0,,,0.0,349306.0,100.0,100.0,0.0,37940.44852941176,349306.0,5509207.0,WWW.CARROLL.ORG,137,7857415.0,100.0,41.66666666666667,25.0,,
41,42106765,Morgan Memorial Goodwill Industries Inc,Roxbury,MA,1698883200000000000,White/Caucasian/European,Female,,,,,,,,,12.0,8.333333333333332,16.666666666666664,8.333333333333332,,,,66.66666666666666,,,,,50.0,50.0,,,,,,,,,,,,,,,,5.0,,,,,,,100.0,,,,,80.0,20.0,,,,,,,,,,,,,,5.0,,316.0,3.481012658227848,28.79746835443038,25.0,,0.6329113924050633,,39.24050632911392,2.2151898734177213,,0.6329113924050633,,62.65822784810127,37.34177215189873,,,,,,,,,,,,25.0,281.0,10.0,,362349.3333333333,202177.0,-79.22381543564961,50.0,50.0,27822.558983666066,625717.0,17023809.0,WWW.GOODWILLMASS.ORG,557,36409751.0,40.0,57.14285714285714,83.33333333333334,50.0,
42,42171186,Walker Inc,Needham,MA,1675296000000000000,Asian/Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,25.0,0.0,0.0,,,,62.5,0.0,,12.5,,,,,,,,,,,,,,,1.0,2.0,5.0,,254.0,2.3622047244094486,20.866141732283463,9.05511811023622,,0.7874015748031495,,53.14960629921261,1.968503937007874,,11.811023622047244,,,,,,,,,,,,,,,14.0,56.0,184.0,,180785.5,254481.0,28.95913643847674,42.85714285714285,57.14285714285714,36931.67175572519,351187.0,16000732.0,WWW.WALKERCARES.ORG,400,27525942.0,60.0,50.0,57.14285714285714,,
50,42387225,Boys and Girls Clubs of Metrowest Inc,MARLBOROUGH,MA,1674172800000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Decline to state,,,,,,18.0,5.555555555555555,16.666666666666664,5.555555555555555,,,,72.22222222222221,,,,,55.55555555555556,44.44444444444444,,,,,100.0,,,,,18.0,,,,18.0,,4.0,,,,,,,100.0,,,,,75.0,25.0,,,,,100.0,,,,,4.0,,,,4.0,,107.0,,19.626168224299064,13.084112149532709,,,,46.728971962616825,20.5607476635514,,,,54.20560747663551,45.794392523364486,,,,,,107.0,,,,107.0,,,,107.0,,151934.0,0.0,-1.0,0.0,100.0,14116.93893129771,151934.0,2001253.0,WWW.BGCMETROWEST.ORG,132,3792862.0,,64.28571428571429,50.0,,
51,42393108,Charles River Association for Retarded Citizens Inc,Needham,MA,1697760000000000000,White/Caucasian/European,Female,,,Person without a disability,,,,,,16.0,,,,,,,,,,,,37.5,62.5,,,,,,,,,,,,1.0,15.0,,,5.0,,,,,,,,,,,,40.0,60.0,,,,,,,,,,,,,5.0,,,522.0,1.9157088122605364,58.429118773946364,3.6398467432950192,,0.19157088122605362,,34.67432950191571,1.1494252873563218,,,,,,,,,,,,,,,,,,,,,236787.5,0.0,-1.0,0.0,100.0,39786.15780730897,319040.0,24424842.0,CHARLESRIVERCENTER.ORG,604,32274247.0,0.0,30.76923076923077,71.42857142857143,,
52,42430193,Willie Ross School for the Deaf Inc,Longmeadow,MA,1687305600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,,,,,,,40.909090909090914,,,13.0,,22.727272727272727,18.181818181818183,,59.09090909090909,,,36.36363636363637,14.0,,,8.0,14.0,,4.0,4.0,14.0,,7.0,,,,,,,71.42857142857143,,,28.57142857142857,,42.857142857142854,28.57142857142857,,28.57142857142857,,,14.285714285714285,6.0,,,4.0,3.0,,3.0,2.0,2.0,,65.0,3.076923076923077,,3.076923076923077,,,,33.84615384615385,1.5384615384615385,,58.46153846153847,,35.38461538461539,3.076923076923077,1.5384615384615385,60.0,,1.5384615384615385,1.5384615384615385,63.0,,5.0,19.0,40.0,1.0,7.0,16.0,42.0,,0.0,167022.0,100.0,100.0,0.0,47215.90243902439,167022.0,4038726.0,WWW.WILLIEROSSSCHOOL.ORG,83,4971017.0,,52.94117647058824,0.0,,
53,42448579,Hope House Inc,BOSTON,MA,1640082423000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,,,,,,,,,,,18.181818181818183,81.81818181818183,,,,,,,,,,,,7.0,0.0,,4.0,7.0,,28.57142857142857,14.285714285714285,,,,42.857142857142854,,,,14.285714285714285,57.14285714285714,42.857142857142854,,,,,,,,2.0,,,5.0,4.0,,,3.0,65.0,6.153846153846154,36.92307692307693,12.307692307692308,,1.5384615384615385,,29.230769230769234,3.076923076923077,,,10.76923076923077,,,,,,,,,,,,,,,,,,0.0,177707.0,100.0,100.0,0.0,55514.66666666666,177707.0,3675131.0,WWW.HOPEHOUSEBOSTON.ORG,64,6395082.0,,41.66666666666667,33.33333333333333,,
54,42488502,National Consumer Law Center Inc,BOSTON,MA,1691020800000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,9.090909090909092,27.27272727272727,18.181818181818183,,,,45.45454545454545,,,,,54.54545454545454,45.45454545454545,,,,,100.0,,,,,,,,,,,7.0,,14.285714285714285,,,,,85.71428571428571,,,,,57.14285714285714,42.857142857142854,,,,,,,,,,,,,,,,51.0,7.8431372549019605,3.9215686274509802,,,,,58.82352941176471,1.9607843137254901,,27.450980392156865,,58.82352941176471,39.21568627450981,1.9607843137254901,,,,,,,,,,,,,,,198045.25,211719.0,6.4584425582966105,55.55555555555556,44.44444444444444,102055.26984126984,266478.0,8280258.0,WWW.NCLC.ORG,72,12110427.0,40.0,55.55555555555556,50.0,,
55,42518368,Way Finders Inc,Springfield,MA,1660867200000000000,Black/African American,Male,Not transgender (cisgender),,,,,,,,21.0,,19.047619047619047,14.285714285714285,,,,57.14285714285714,9.523809523809524,,,,57.14285714285714,42.857142857142854,,,,,,,,,,,,,,,,8.0,12.5,50.0,12.5,,,,25.0,,,,,75.0,25.0,,,,,,,,,,,,,,,,297.0,1.3468013468013467,13.804713804713806,50.841750841750844,,,,30.303030303030305,3.0303030303030303,,,0.6734006734006733,71.38047138047138,28.619528619528616,,,,,,,,,,,,,,,,173238.0,182268.0,4.954243202317467,50.0,50.0,45700.80661577608,235024.0,19026935.0,WWW.WAYFINDERS.ORG,399,168594430.0,100.0,73.33333333333333,61.53846153846154,,0.0
56,42518575,Bay Cove Human Services Inc,Boston,MA,1667827065000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,10.0,10.0,,,,,80.0,,,,,35.0,65.0,,,,,,,,3.0,17.0,,,,,,,6.0,0.0,0.0,16.666666666666664,,0.0,,83.33333333333334,,,,,50.0,50.0,,,,,100.0,,,1.0,5.0,,,,6.0,,,1977.0,2.832574607991907,56.499747091552855,6.474456246838645,,0.7081436519979768,,28.072837632776938,2.8831562974203337,,2.5290844714213456,,66.66666666666666,33.33333333333333,,,,,,,,,,,,115.0,1222.0,119.0,521.0,213010.3333333333,302635.0,29.61477247068801,33.33333333333333,66.66666666666666,44642.94867008866,391676.0,97855806.0,WWW.BAYCOVE.ORG,2152,138026534.0,80.0,33.33333333333333,50.0,,
