ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
39-1034054,United Cerebral Palsy of Greater Dane County Inc,Madison,WI,2022-01-18 14:34:47,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,9.0,0.0,0.0,0.0,,1.0,,8.0,0.0,,,,5.0,4.0,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,4.0,,,2.0,527.0,25.0,26.0,23.0,,1.0,,427.0,,,25.0,,450.0,77.0,,,,,,,,,,,,4.0,,,523.0,6298642.0
13-3030229,Local Initiatives Support Corporation,New York,NY,2022-11-18 00:00:00,White/Caucasian/European,Female,,,,,,,,,22.0,3.0,6.0,2.0,,0.0,,11.0,,,,,12.0,10.0,,,,,,,22.0,,,,22.0,,,,22.0,4.0,,1.0,,,,,3.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,526.0,49.0,133.0,75.0,,0.0,,248.0,21.0,,,,362.0,164.0,,,,,,,,,,,,,,,,344179991.0
74-1394920,Houston Ballet Foundation,Houston,TX,2023-07-10 00:00:00,White/Caucasian/European,Male,,,,White/Caucasian/European,Male,,,,116.0,7.0,2.0,5.0,,,,78.0,,1.0,,23.0,87.0,29.0,,,,,,,,,,,,,,,,11.0,,,,,,,11.0,,,,,8.0,3.0,,,,,,,,,,,,,,,,525.0,22.0,32.0,76.0,,,,219.0,13.0,,28.0,135.0,332.0,193.0,,,,,,,,,,,,22.0,171.0,19.0,313.0,49258253.0
95-1644024,Jewish Family Service of San Diego,San Diego,CA,2023-05-26 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,24.0,2.0,2.0,2.0,,,,18.0,,,,,13.0,11.0,,,,0.0,24.0,,,2.0,22.0,,,,,,,4.0,,1.0,,,,,3.0,,,,,3.0,1.0,,,,,4.0,,,1.0,0.0,,3.0,,,,4.0,523.0,18.0,34.0,212.0,,4.0,,199.0,,54.0,2.0,,,,,,,,,,,,,,,,,,,44946146.0
98-0118876,Tostan Inc,Alexandria,VA,2021-07-29 09:21:30,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,10.0,0.0,4.0,0.0,,0.0,,6.0,0.0,,,,8.0,2.0,,,,,10.0,,,,,,,,,,10.0,3.0,0.0,1.0,0.0,,0.0,,2.0,0.0,,,,3.0,,,,,,3.0,,,,,,,,,,3.0,511.0,,502.0,,,,,9.0,,,,,167.0,344.0,,,,,,,,,,,,,,,511.0,32796076.0
61-0444842,YMCA of Central KY,LEXINGTON,KY,2022-06-06 00:00:00,White/Caucasian/European,Female,,Heterosexual or Straight,Person without a disability,,,,,,29.0,0.0,9.0,0.0,,0.0,,20.0,0.0,,0.0,0.0,10.0,19.0,0.0,0.0,0.0,,,,,,,,,,,,,7.0,0.0,1.0,0.0,,0.0,,6.0,0.0,,0.0,0.0,5.0,2.0,,,,,,,,,,,,0.0,7.0,,,507.0,14.0,87.0,9.0,,2.0,,376.0,16.0,,3.0,,363.0,144.0,,,,,,,,,,,,,507.0,,,18002221.0
13-2926426,Graham-Windham,Brooklyn,NY,2023-08-10 00:00:00,Black/African American,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,7.0,,,,,6.0,,1.0,,1.0,10.0,5.0,,,,,,,,,,,,,,,,503.0,,290.0,120.0,,2.0,,32.0,17.0,14.0,,28.0,379.0,120.0,,,4.0,,,,,,,,,,,,,57885476.0
36-2728618,Casa Central Social Services Corporation,Chicago,IL,2021-11-24 07:43:31,Hispanic/Latino/Latina/Latinx,Male,,,Decline to state,,,,,,20.0,1.0,,15.0,,,,4.0,,,,,10.0,10.0,,,,,,,,,,,,,,,20.0,6.0,,,3.0,,,,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,501.0,1.0,34.0,451.0,,,,14.0,,1.0,,,445.0,56.0,,,,,,,,,,,,11.0,490.0,,,19199758.0
20-8635797,Luke Commission Inc,Sagle,ID,2021-03-24 07:12:14,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,6.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,500.0,,480.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,20745366.0
26-2061324,Hope of Life International,Cranston,RI,2022-10-13 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,5.0,,1.0,2.0,,,,2.0,,,,,4.0,1.0,,,,,5.0,,,,,,,,5.0,,,3.0,,,2.0,,,,1.0,,,,,3.0,,,,,,,,,,,,,,3.0,,,500.0,,,497.0,,,,2.0,1.0,,,,327.0,173.0,,,,,,,,,,,,,,,,25673993.0
95-1643396,Young Mens Christian Association of Greater Long Beach,LONG BEACH,CA,2023-07-09 00:00:00,Decline to state,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,50.0,,,,,,,,,,50.0,,,,,50.0,,,,50.0,,,,50.0,,,,50.0,,5.0,,,,,,,,,,5.0,,,,,5.0,,,,5.0,,,,5.0,,,,5.0,,500.0,,,,,,,,,,500.0,,,,,500.0,,,,500.0,,,,500.0,,,,500.0,,25619554.0
42-1315493,Maharishi International University,Fairfield,IA,2022-02-09 11:58:38,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,35.0,1.0,4.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,492.0,56.0,13.0,26.0,,,,349.0,7.0,,41.0,,,,,,,,,,,,,,,,,,,63354358.0
94-2487469,Monterey Bay Aquarium Foundation,Monterey,CA,2023-05-24 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,3.0,2.0,1.0,,,,11.0,,,,,8.0,9.0,,,,,,,,,,,,,17.0,,,6.0,,1.0,,,,,5.0,,,,,6.0,,,,,,,,6.0,,,,,5.0,1.0,,,492.0,38.0,12.0,108.0,5.0,4.0,4.0,289.0,32.0,,0.0,0.0,284.0,206.0,2.0,0.0,0.0,,,,492.0,,,,,21.0,401.0,70.0,0.0,114460200.0
11-1631747,Forestdale Inc,Forest Hills,NY,2022-10-28 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,25.0,7.0,3.0,2.0,,0.0,,13.0,,,,,16.0,9.0,,,,,,,,,,,,,,,,7.0,,2.0,3.0,,,,2.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,489.0,28.0,172.0,143.0,,1.0,,66.0,16.0,,63.0,,386.0,75.0,,,28.0,,,,,,,,,,,,,33870328.0
13-3412540,Doe Fund Inc,NEW YORK,NY,2023-01-12 17:03:11,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,0.0,4.0,1.0,,,,7.0,,,,,3.0,9.0,,,,,,,,,,,,,,,,13.0,,2.0,2.0,,,,9.0,,,,,5.0,8.0,,,,,,,,,,,,,,,,488.0,22.0,296.0,104.0,,1.0,,56.0,9.0,,,,100.0,388.0,,,,,,,,,,,,,,,,78427074.0
94-2762269,CATHOLIC CHARITIES OF SANTA CLARA COUNTY,San Jose,CA,2023-08-31 00:00:00,White/Caucasian/European,Male,,,,White/Caucasian/European,Female,,,,21.0,2.0,1.0,4.0,,,,14.0,,,,,8.0,13.0,,,,,,,,,,,,,,,,5.0,2.0,,,,,,3.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,488.0,88.0,18.0,284.0,,1.0,,76.0,16.0,,,5.0,364.0,118.0,,,6.0,,,,,,,,,,,,,54565333.0
04-2106765,Morgan Memorial Goodwill Industries Inc,Roxbury,MA,2023-05-09 00:00:00,White/Caucasian/European,Female,,,,,,,,,12.0,1.0,2.0,1.0,,,,8.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,5.0,,483.0,16.0,147.0,113.0,,1.0,,191.0,14.0,,1.0,,313.0,170.0,,,,,,,,,,,,46.0,415.0,22.0,,36409751.0
04-2382027,Community Teamwork Inc,Lowell,MA,2023-03-09 00:00:00,White/Caucasian/European,Female,,,,,,,,,24.0,3.0,2.0,2.0,,,,17.0,,,,,13.0,11.0,,,,,,,,,,,,,,,,12.0,2.0,2.0,,,,,8.0,,,,,11.0,1.0,,,,,,,,,,,,,,,,483.0,40.0,26.0,139.0,0.0,1.0,0.0,255.0,22.0,,,,399.0,84.0,,,,,,,,,,,,,,,,200534609.0
13-1624178,Selfhelp Community Services Inc,New York,NY,2023-02-23 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,29.0,2.0,3.0,1.0,,,,23.0,,,,,9.0,20.0,,,,,29.0,,,1.0,28.0,,,,,,,9.0,2.0,,,,,,7.0,,,,,3.0,6.0,,,,,9.0,,,,,,,,,,,480.0,75.0,88.0,113.0,,2.0,,181.0,8.0,,6.0,7.0,367.0,106.0,,,7.0,,,,,,,,,,,,,96963224.0
13-5562976,Boys & Girls Clubs of America,Atlanta,GA,2022-10-17 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,49.0,3.0,11.0,2.0,,1.0,,32.0,0.0,,0.0,,11.0,38.0,,,,,,,,,,,,,,,,15.0,,3.0,1.0,,,,10.0,,1.0,,,9.0,6.0,,,,,,,,3.0,12.0,,,,,,,480.0,18.0,142.0,28.0,,11.0,,261.0,8.0,,,12.0,333.0,147.0,,,,,,,,,,,,1.0,,,479.0,217713685.0
36-2712912,Illinois Action for Children,Chicago,IL,2023-04-28 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,2.0,7.0,1.0,,1.0,0.0,3.0,1.0,,0.0,0.0,11.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,10.0,0.0,7.0,1.0,,,,2.0,,,,,7.0,3.0,,,,,,,,,,,,,,,,478.0,12.0,277.0,124.0,0.0,0.0,0.0,54.0,11.0,,,,416.0,61.0,,1.0,,,,,,,,,,,,,,53057014.0
94-1156258,CALIFORNIA ACADEMY OF SCIENCES,San Francisco,CA,2021-04-30 16:46:54,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,42.0,6.0,1.0,1.0,,,,34.0,,,,,13.0,29.0,,,,,,,,,,,,,,,,22.0,1.0,0.0,4.0,,0.0,,14.0,2.0,,,1.0,11.0,11.0,,,,,,,,,,,,,,,,476.0,110.0,13.0,71.0,,1.0,,231.0,38.0,,,12.0,276.0,197.0,3.0,,,,,,,,,,,,,,,88151036.0
13-1624046,Institute of International Education Inc,NEW YORK,NY,2021-05-04 10:03:28,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,6.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,475.0,63.0,59.0,36.0,,,,303.0,14.0,,,,333.0,142.0,,,,,,,,,,,,,,,,326453880.0
23-1716750,Eden Housing Inc,Hayward,CA,2022-10-06 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,17.0,1.0,4.0,2.0,,,,10.0,,,,,7.0,10.0,,,,,17.0,0.0,0.0,,,,,,,,,4.0,,1.0,,,,,3.0,,,,,4.0,,,,,,4.0,,,,,,,,,,,475.0,82.0,70.0,178.0,,1.0,,120.0,19.0,,5.0,,268.0,207.0,,,,,,,,,,,,,,,,90990309.0
94-2816342,Educational Media Foundation,Rocklin,CA,2022-12-09 00:00:00,White/Caucasian/European,Male,,,,White/Caucasian/European,Male,,,,9.0,,,,,,,9.0,,,,,1.0,8.0,,,,,,,,,,,,,,,,10.0,,,,,,,9.0,1.0,,,,2.0,8.0,,,,,,,,,,,,,,,,464.0,17.0,18.0,40.0,,2.0,,373.0,14.0,,,,213.0,251.0,,,,,,,,,,,,,,,,247061110.0
26-2034843,Summit Public Schools,Redwood City,CA,2021-09-01 11:49:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,5.0,2.0,,0.0,,14.0,2.0,,0.0,1.0,12.0,12.0,0.0,0.0,3.0,0.0,25.0,0.0,2.0,2.0,23.0,0.0,2.0,0.0,25.0,0.0,2.0,462.0,65.0,54.0,91.0,,0.0,,204.0,20.0,,0.0,28.0,,,,,,,,,,,,,,,,,,62350567.0
04-2104754,Child & Family Services Inc,New Bedford,MA,2022-01-20 09:56:04,White/Caucasian/European,Female,,,,,,,,,12.0,0.0,3.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,5.0,7.0,,,,,,,,,,,,1.0,11.0,,,66.0,0.0,5.0,2.0,,0.0,,55.0,4.0,,,,55.0,11.0,,,,,,,,,,,,,,,,456.0,4.0,47.0,41.0,,0.0,,330.0,19.0,,2.0,13.0,,,,,,,,,,,,,,3.0,453.0,,,37057328.0
16-1095750,Summit Center Inc,GETZVILLE,NY,2022-04-29 10:11:03,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,,1.0,,,,,13.0,,,,,4.0,10.0,,,,,14.0,,,1.0,13.0,,,,,,14.0,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,5.0,,,,5.0,,,,5.0,,,455.0,1.0,32.0,12.0,,2.0,,402.0,6.0,,,,,,,,,,,,,,,,,,,,,28256004.0
75-1485951,Clayton Child Care Inc,Fort Worth,TX,2023-08-22 00:00:00,White/Caucasian/European,Male,,,,,,,,,16.0,,4.0,3.0,,,,8.0,,,1.0,,11.0,5.0,,,,,,,,,,,,,,,,8.0,,1.0,1.0,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,454.0,10.0,208.0,128.0,,1.0,,98.0,9.0,,,,,,,,,,,,,,,,,,,,,17902037.0
94-3199117,Nevada Health Centers Inc,Carson City,NV,2021-06-14 16:07:38,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,3.0,2.0,,,,5.0,,,,,4.0,6.0,,,,,,,,,,,,,,,,10.0,,1.0,1.0,,,,6.0,2.0,,,,7.0,3.0,,,,,,,,,,,,,,,,453.0,12.0,47.0,233.0,,2.0,,141.0,18.0,,,,376.0,77.0,,,,,,,,,,,,,,,,55310099.0
36-2795409,Trilogy Inc,Chicago,IL,2022-10-17 12:13:36,White/Caucasian/European,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,17.0,146.0,65.0,,2.0,,206.0,10.0,,,4.0,337.0,106.0,,,7.0,,,,,,,,,10.0,75.0,1.0,364.0,38855480.0
41-0907046,Mount Olivet Rolling Acres Inc,Victoria,MN,2020-01-02 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,,,,,,,14.0,,,,,9.0,5.0,,,,,14.0,,,,14.0,,,,,,,12.0,,,1.0,,,,11.0,,,,,10.0,2.0,,,,,12.0,,,,12.0,,,,12.0,,,450.0,,,,,,,,,,,450.0,,,,,450.0,,,,,,,,,,,,,42480608.0
93-0354176,Morrison Child & Family Services,Portland,OR,2020-03-16 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,10.0,,1.0,,,,,9.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,1.0,,,,3.0,2.0,,,,,5.0,,,2.0,3.0,,,,5.0,,,450.0,,,,,,,,,,450.0,,,,,450.0,,,,,,,,,,,,,,29179947.0
95-2492427,Florence Crittenton Services of Orange County Inc,Fullerton,CA,2021-11-12 11:45:30,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,10.0,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,448.0,6.0,36.0,349.0,,1.0,,44.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,36223972.0
