ein,org_name,web_address,num_employees,total_revenue,total_compensation,highest_salary,avg_employee_comp,pay_gap,percent_male,percent_female,category_gender_percentages
02-6006033,GRANITE UNITED WAY,WWW.GRANITEUW.ORG,80,19030593.0,4216796.0,228797.0,50481.0,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
03-0179436,SHELBURNE MUSEUM INC,WWW.SHELBURNEMUSEUM.ORG,139,11449784.0,3840264.0,321436.0,25498.753623188404,100.0,100.0,0.0,{'OfficerInd_percent_female': 0.0}
03-0284103,ASPIRE LIVING & LEARNING INC,WWW.ALLINC.ORG,1565,90937720.0,59662877.0,250813.0,37418.251123956325,11.34726017355855,37.5,62.5,{'IndividualTrusteeOrDirectorInd_percent_female': 62.5}
03-0335768,TRI-VALLEY TRANSIT INC,WWW.TRIVALLEYTRANSIT.ORG,66,7100109.0,3508098.0,159557.0,51516.015384615384,100.0,100.0,0.0,{'OfficerInd_percent_female': 0.0}
04-2103652,AMERICAN ANTIQUARIAN SOCIETY,WWW.AMERICANANTIQUARIAN.ORG,51,8610061.0,3428403.0,281042.0,61018.71428571428,43.978480084827176,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
04-2103714,ANIMAL RESCUE LEAGUE OF BOSTON,WWW.ARLBOSTON.ORG,143,17733553.0,7464220.0,280223.0,47766.0071942446,35.22753901951898,25.0,75.0,{'IndividualTrusteeOrDirectorInd_percent_female': 75.0}
04-2103922,BOYS & GIRLS CLUBS OF BOSTON INC,WWW.BGCB.ORG,321,45189768.0,15954294.0,348418.0,45488.65495207668,21.99856673349021,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
04-2103979,CATHOLIC CHARITIES OF THE DIOCESE OFWORCESTER,WWW.CCWORC.ORG,443,11466472.0,8314981.0,152052.0,18468.16515837104,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-2104168,ELLIS MEMORIAL AND ELDREDGE HOUSE INC,ELLISMEMORIAL.ORG,93,4832643.0,3196366.0,161075.0,31779.0989010989,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
04-2104257,EAST BOSTON SOCIAL CENTERS INC,WWW.EBSOC.ORG,132,8336399.0,4556656.0,183604.0,33382.076335877864,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-2104377,LAWRENCE BOYS & GIRLS CLUB INC,www.lawrencebgc.com,65,4286609.0,2020902.0,167194.0,28964.1875,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-2104754,CHILD AND FAMILY SERVICES INC,WWW.CHILD-FAMILYSERVICES.ORG,583,37057328.0,24774725.0,236318.0,41690.74827586207,-32.10499394867695,66.66666666666666,33.33333333333333,"{'HighestCompensatedEmployeeInd_percent_female': 0.0, 'OfficerInd_percent_female': 50.0}"
04-2104757,NEW ENGLAND HISTORIC GENEALOGICALSOCIETY,AMERICANANCESTORS.ORG,99,13569592.0,8372927.0,514865.0,71650.10869565218,42.51783255547257,85.71428571428571,14.285714285714285,{'IndividualTrusteeOrDirectorInd_percent_female': 14.285714285714285}
04-2105756,FAMILYAID BOSTON INC,WWW.FAMILYAIDBOSTON.ORG,131,14637192.0,6944937.0,203741.0,50125.234375,20.201137718966727,33.33333333333333,66.66666666666666,"{'IndividualTrusteeOrDirectorInd_percent_female': 0.0, 'OfficerInd_percent_female': 100.0}"
04-2106173,THE CARROLL CENTER FOR THE BLIND INC,WWW.CARROLL.ORG,137,7857415.0,5509207.0,349306.0,37940.44852941176,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-2106765,MORGAN MEMORIAL GOODWILL INDUSTRIES INC,WWW.GOODWILLMASS.ORG,557,36409751.0,17023809.0,625717.0,27822.558983666062,-79.22381543564961,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
04-2171186,WALKER INC,WWW.WALKERCARES.ORG,400,27525942.0,16000732.0,351187.0,36931.67175572519,28.95913643847674,42.857142857142854,57.14285714285714,{'IndividualTrusteeOrDirectorInd_percent_female': 57.14285714285714}
04-2226199,The Arc of Opportunity in North CentralMassachusetts Inc,arcofopportunity.org,381,18583549.0,12748138.0,216120.0,32600.965699208442,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
04-2261109,THIRD SECTOR NEW ENGLAND INC,WWW.TSNE.ORG,580,83599694.0,34417378.0,291942.0,57402.193717277485,-2.4779617874181175,14.285714285714285,85.71428571428571,{'IndividualTrusteeOrDirectorInd_percent_female': 85.71428571428571}
04-2297514,NEW ENGLAND AQUARIUM CORPORATION,WWW.NEAQ.ORG,300,52802901.0,13696792.0,443715.0,39302.43986254295,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-2387225,BOYS AND GIRLS CLUBS OF METROWEST INC,WWW.BGCMETROWEST.ORG,132,3792862.0,2001253.0,151934.0,14116.93893129771,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
04-2393108,CHARLES RIVER ASSOCIATION FOR RETARDEDCITIZENS INC,CHARLESRIVERCENTER.ORG,604,32274247.0,24424842.0,319040.0,39786.15780730897,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
04-2430193,WILLIE ROSS SCHOOL FOR THE DEAF INC,WWW.WILLIEROSSSCHOOL.ORG,83,4971017.0,4038726.0,167022.0,47215.90243902439,100.0,100.0,0.0,{'OfficerInd_percent_female': 0.0}
04-2448579,HOPE HOUSE INC,WWW.HOPEHOUSEBOSTON.ORG,64,6395082.0,3675131.0,177707.0,55514.666666666664,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
04-2488502,NATIONAL CONSUMER LAW CENTER INC,WWW.NCLC.ORG,72,12110427.0,8280258.0,266478.0,102055.26984126984,6.4584425582966105,55.55555555555556,44.44444444444444,{'IndividualTrusteeOrDirectorInd_percent_female': 44.44444444444444}
04-2518368,WAY FINDERS INC,WWW.WAYFINDERS.ORG,399,168594430.0,19026935.0,235024.0,45700.806615776084,4.954243202317467,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
04-2518575,BAY COVE HUMAN SERVICES INC,WWW.BAYCOVE.ORG,2152,138026534.0,97855806.0,391676.0,44642.94867008866,29.61477247068801,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
04-2562646,MYSTIC VALLEY ELDER SERVICES INC,WWW.MVES.ORG,379,94729966.0,20267446.0,345888.0,51580.346666666665,2.950912106610648,75.0,25.0,"{'HighestCompensatedEmployeeInd_percent_female': 0.0, 'KeyEmployeeInd_percent_female': 100.0, 'OfficerInd_percent_female': 0.0}"
04-2600042,HARVARD STREET NEIGHBORHOOD HEALTHCENTER INC,WWW.HARVARDSTREET.ORG,158,15355937.0,6885006.0,220667.0,38781.60784313725,-4.372056232696935,40.0,60.0,{'IndividualTrusteeOrDirectorInd_percent_female': 60.0}
04-2678774,CODMAN SQUARE HEALTH CENTER INC,WWW.CODMAN.ORG,424,56129648.0,25219270.0,355189.0,54898.78450363196,-0.10897074301967215,54.54545454545454,45.45454545454545,"{'HighestCompensatedEmployeeInd_percent_female': 40.0, 'OfficerInd_percent_female': 50.0}"
04-2698497,PLANNED PARENTHOOD LEAGUE OFMASSACHUSETTS INC,WWW.PPLM.ORG,337,31439793.0,14470520.0,411509.0,39443.54682779456,-5.470740150557723,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
04-2761636,FACING HISTORY AND OURSELVES INC,WWW.FACINGHISTORY.ORG,233,32778323.0,19911034.0,523498.0,74640.9409090909,4.191073287999701,46.15384615384615,53.84615384615385,{'IndividualTrusteeOrDirectorInd_percent_female': 53.84615384615385}
04-2775991,METROPOLITAN BOSTON HOUSING PARTNERSHIPINC D/B/A METRO HOUSING BOSTON,WWW.METROHOUSINGBOSTON.ORG,291,464356613.0,18640592.0,230454.0,62838.28472222222,32.15305440565145,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
04-3005094,WOODWELL CLIMATE RESEARCH CENTER,WOODWELLCLIMATE.ORG,83,47265255.0,10735602.0,460886.0,114501.81081081081,17.09119436684398,77.77777777777779,22.22222222222222,{'IndividualTrusteeOrDirectorInd_percent_female': 22.22222222222222}
04-3007211,VIETNAM VETERANS WORKSHOP INC DBANEW ENGLAND CENTER AND HOME FOR VETERANS,NECHV.ORG,122,11943137.0,6413844.0,285639.0,44311.879310344826,-8.74431972560193,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
04-3014834,HILDEBRAND FAMILY SELF-HELP CENTER INC,HILD-SELFHELP.ORG,83,8040115.0,2565786.0,236871.0,28401.40243902439,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
04-3082352,CHILDREN'S SERVICES OF ROXBURY INC,WWW.CSROX.ORG,296,36785680.0,15412854.0,178610.0,51641.50508474576,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
04-3098024,VETERANS INC,WWW.VETERANSINC.ORG,248,21842562.0,10355944.0,237018.0,39515.03673469388,3.771994521125276,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
04-3172401,THE HOUSING PARTNERSHIP NETWORK INC,HOUSINGPARTNERSHIP.NET,62,12049370.0,8176853.0,431730.0,89006.90196078431,-2.7307097600625503,63.63636363636363,36.36363636363637,"{'HighestCompensatedEmployeeInd_percent_female': 40.0, 'IndividualTrusteeOrDirectorInd_percent_female': 0.0, 'KeyEmployeeInd_percent_female': 66.66666666666666, 'OfficerInd_percent_female': 0.0}"
04-3182053,THE BELL FOUNDATION INC,WWW.BELLXCEL.ORG,170,19692109.0,8067882.0,390972.0,36920.25766871166,3.332449942579605,28.57142857142857,71.42857142857143,{'IndividualTrusteeOrDirectorInd_percent_female': 71.42857142857143}
04-3206820,HEARTH INC,WWW.HEARTH-HOME.ORG,101,7949326.0,3612400.0,170123.0,34422.77,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-3252955,PER SCHOLAS INC,WWW.PERSCHOLAS.ORG,470,45563468.0,23725346.0,359849.0,47495.96103896104,3.4394476607909854,62.5,37.5,"{'HighestCompensatedEmployeeInd_percent_female': 20.0, 'OfficerInd_percent_female': 66.66666666666666}"
04-3391788,THE EPIPHANY SCHOOL INC,WWW.EPIPHANYSCHOOL.COM,86,7545393.0,3996995.0,162605.0,43827.17857142857,-100.0,0.0,100.0,"{'HighestCompensatedEmployeeInd_percent_female': 100.0, 'OfficerInd_percent_female': 100.0}"
04-3478123,ROOT CAPITAL INC,WWW.ROOTCAPITAL.ORG,58,34310202.0,9399280.0,332248.0,152835.9019607843,18.500789981859675,42.857142857142854,57.14285714285714,{'IndividualTrusteeOrDirectorInd_percent_female': 57.14285714285714}
04-3490827,MAINSTAY SUPPORTIVE HOUSINGAND HOMECARE INC,WWW.MAINSTAYLIVING.ORG,66,2101971.0,1539968.0,250000.0,19845.66153846154,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
04-3512550,CLEAN AIR TASK FORCE INC,WWW.CATF.US,129,51134505.0,16855228.0,351952.0,115775.94827586207,10.56281916766331,46.15384615384615,53.84615384615385,"{'IndividualTrusteeOrDirectorInd_percent_female': 60.0, 'KeyEmployeeInd_percent_female': 50.0, 'OfficerInd_percent_female': 0.0}"
04-3519203,NEW LEADERS INC,WWW.NEWLEADERS.ORG,164,51082057.0,22864282.0,610652.0,125701.44,23.60714103990227,35.714285714285715,64.28571428571429,"{'IndividualTrusteeOrDirectorInd_percent_female': 61.53846153846154, 'OfficerInd_percent_female': 100.0}"
04-3523528,THE CENTER FOR EFFECTIVE PHILANTHROPYINC,WWW.CEP.ORG,71,13719145.0,9285180.0,631827.0,104153.13559322034,35.03423551663009,33.33333333333333,66.66666666666666,"{'HighestCompensatedEmployeeInd_percent_female': 60.0, 'IndividualTrusteeOrDirectorInd_percent_female': 0.0, 'OfficerInd_percent_female': 83.33333333333334}"
04-3534407,YEAR UP INC,WWW.YEARUP.ORG,1113,179315305.0,103456487.0,597836.0,89454.23561643835,4.48873898387837,38.88888888888889,61.111111111111114,{'IndividualTrusteeOrDirectorInd_percent_female': 61.111111111111114}
04-3694151,826 Valencia Inc,www.826valencia.org,63,5944678.0,3260992.0,201079.0,49353.43548387097,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
04-3766364,COMMUNITY HEALTH CONNECTION INC,N/A,143,13914137.0,8169292.0,238122.0,50492.66176470588,21.31003809627969,28.57142857142857,71.42857142857143,"{'HighestCompensatedEmployeeInd_percent_female': 66.66666666666666, 'KeyEmployeeInd_percent_female': 100.0, 'OfficerInd_percent_female': 0.0}"
04-6149986,CONSERVATION LAW FOUNDATION INC,WWW.CLF.ORG,122,28629801.0,11672022.0,313302.0,89392.10344827586,14.165789240905442,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
05-0276059,UNITED WAY OF RHODE ISLAND INC,WWW.UNITEDWAYRI.ORG,105,23014896.0,7651134.0,349320.0,69332.61165048544,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
05-0395601,RHODE ISLAND COMMUNITY FOOD BANKASSOCIATION,RIFOODBANK.ORG,70,26504097.0,4916693.0,250220.0,63158.22727272727,33.65438414195508,25.0,75.0,{'IndividualTrusteeOrDirectorInd_percent_female': 75.0}
06-0646592,COMMUNITY PARTNERS IN ACTION INC,WWW.CPA-CT.ORG,259,16238720.0,10194184.0,212240.0,37645.89453125,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-0646593,MENTAL HEALTH CONNECTICUT INC,WWW.MHCONN.ORG,276,15095005.0,10945449.0,245925.0,37961.99633699634,31.70702449933923,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
06-0662111,GOODWILL OF WESTERN ANDNORTHERN CONNECTICUT INC,GWCT.ORG,1673,52522634.0,26781052.0,315922.0,15364.984412470025,27.111439432414546,80.0,20.0,{'IndividualTrusteeOrDirectorInd_percent_female': 20.0}
06-0662134,GIRL SCOUTS OF CONNECTICUT INC,WWW.GSOFCT.ORG,228,13637224.0,5972250.0,224690.0,25319.64757709251,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-0667605,CONNECTICUT HUMANE SOCIETY,WWW.CTHUMANE.ORG,97,21690019.0,6074308.0,236522.0,58715.87234042553,21.446029842056923,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
06-0667607,CATHOLIC CHARITIES INCARCHDIOCESE OF HARTFORD,WWW.CCAOH.ORG,458,25891910.0,18116535.0,194151.0,38915.625,8.906469706568599,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
06-0669106,THE CHILD AND FAMILY GUIDANCE CENTER INC,CFGUIDANCE.ORG,141,11103874.0,7693407.0,210515.0,50967.47445255474,9.274958180882118,75.0,25.0,{'IndividualTrusteeOrDirectorInd_percent_female': 25.0}
06-0685118,THE MARK TWAIN MEMORIAL,WWW.MARKTWAINHOUSE.ORG,81,2766310.0,1451303.0,163415.0,16098.6,100.0,100.0,0.0,{'OfficerInd_percent_female': 0.0}
06-0712017,ARI of Connecticut Inc,www.arict.org,131,6510135.0,5345223.0,156730.0,39911.484615384616,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-0862072,THE CARVER FOUNDATIONOF NORWALK INC,WWW.CARVERCENTERCT.ORG,411,9148102.0,4959506.0,230442.0,11534.30243902439,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
06-0870990,CORNELL SCOTT-HILL HEALTH CORPORATION,WWW.HILLHEALTHCENTER.COM,828,109706117.0,59633398.0,647912.0,68011.77573529411,8.79544229405395,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
06-1063025,CONNECTICUT FOODSHARE INC,WWW.CTFOODSHARE.ORG,129,98816890.0,10051628.0,188280.0,74773.584,-9.28767389351526,25.0,75.0,"{'HighestCompensatedEmployeeInd_percent_female': 100.0, 'KeyEmployeeInd_percent_female': 100.0, 'OfficerInd_percent_female': 50.0}"
06-1157655,HOLE IN THE WALL GANG FUND INC,WWW.HOLEINTHEWALLGANG.ORG,113,29148853.0,8866136.0,306391.0,70555.12264150943,13.494349742543868,71.42857142857143,28.57142857142857,{'IndividualTrusteeOrDirectorInd_percent_female': 28.57142857142857}
06-1172535,INSPIRICA INC,WWW.INSPIRICACT.ORG,133,9021681.0,5157717.0,257791.0,37120.65151515151,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-1296692,NEIGHBORHOOD DEFENDER SERVICE INC,WWW.NEIGHBORHOODDEFENDER.ORG,237,29238420.0,25416686.0,400258.0,102724.76754385965,30.021683822064883,44.44444444444444,55.55555555555556,{'IndividualTrusteeOrDirectorInd_percent_female': 55.55555555555556}
06-1504413,THE MULTIPLE MYELOMA RESEARCHFOUNDATION INC,WWW.THEMMRF.ORG,74,42311196.0,11130870.0,625225.0,117756.76666666666,-3.5474456212356205,57.14285714285714,42.857142857142854,{'IndividualTrusteeOrDirectorInd_percent_female': 42.857142857142854}
06-1517218,STUDENT LEADERSHIP NETWORK INC,WWW.STUDENTLEADERSHIPNETWORK.ORG,163,12224104.0,7225926.0,275189.0,38328.0,0.838365335716437,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
06-1576405,EL EDUCATION INC,WWW.ELEDUCATION.ORG,157,41458493.0,18357503.0,421679.0,108661.7397260274,-2.5080201215235274,54.54545454545454,45.45454545454545,{'IndividualTrusteeOrDirectorInd_percent_female': 45.45454545454545}
06-1578214,NEW BEGINNINGS FAMILY ACADEMY INC,NBFACADEMY.ORG,140,8034593.0,6282213.0,215752.0,43643.60431654676,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-1580427,THE CHILDREN'S CENTER OF HAMDEN INC,WWW.CHILDRENSCENTERHAMDEN.ORG,286,15927798.0,13460044.0,207732.0,44956.75800711744,-27.294064958010487,40.0,60.0,{'IndividualTrusteeOrDirectorInd_percent_female': 60.0}
06-6010477,THE ARC EASTERN CONNECTICUT INC,WWW.THEARCECT.ORG,596,20386624.0,16574005.0,237693.0,27455.98655462185,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
06-6026005,THE BOYS AND GIRLS CLUBS OF HARTFORD,WWW.BGCHARTFORD.COM,143,9963793.0,4048422.0,236307.0,26845.88028169014,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
06-6071847,NEW OPPORTUNITIES INC,WWW.NEWOPPINC.ORG,342,47240865.0,11281471.0,226378.0,31427.57227138643,9.82622608180969,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
10-0008533,COALITION TO ABOLISH SLAVERY ANDTRAFFICKING,WWW.CASTLA.ORG,59,9121198.0,4267418.0,261957.0,69059.6724137931,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
11-1631747,FORESTDALE INC,WWW.FORESTDALEINC.ORG,365,33870328.0,20522234.0,307812.0,53271.04189944134,31.93086320461408,28.57142857142857,71.42857142857143,{'IndividualTrusteeOrDirectorInd_percent_female': 71.42857142857143}
11-1635089,MERCYFIRST,WWW.MERCYFIRST.ORG,715,52605241.0,32281737.0,237654.0,43358.9716713881,-5.409146165140808,22.22222222222222,77.77777777777779,"{'FormerOfcrDirectorTrusteeInd_percent_female': 0.0, 'HighestCompensatedEmployeeInd_percent_female': 80.0, 'KeyEmployeeInd_percent_female': 100.0, 'OfficerInd_percent_female': 100.0}"
11-1665825,Episcopal Health Services Inc,WWW.EHS.ORG,2377,303839103.0,196670117.0,1109210.0,79161.52593537416,33.80442216577388,60.0,40.0,"{'FormerOfcrDirectorTrusteeInd_percent_female': 100.0, 'HighestCompensatedEmployeeInd_percent_female': 20.0, 'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666, 'KeyEmployeeInd_percent_female': 30.0, 'OfficerInd_percent_female': 50.0}"
11-2137138,BROOKLYN NAVY YARD DEVELOPMENT CORP,BROOKLYNNAVYYARD.ORG,340,82249010.0,22968849.0,388569.0,60989.99696969697,9.818843469806167,80.0,20.0,{'IndividualTrusteeOrDirectorInd_percent_female': 20.0}
11-2247307,Advocates for Children of New York,www.advocatesforchildren.org,65,14016276.0,5866918.0,253062.0,81520.35,-9.662851874547993,20.0,80.0,"{'HighestCompensatedEmployeeInd_percent_female': 75.0, 'OfficerInd_percent_female': 100.0}"
11-2482974,QSAC INC,HTTP://WWW.QSAC.COM,1752,93716829.0,69968079.0,371897.0,38950.706422018346,-0.6275104154453134,62.5,37.5,{'IndividualTrusteeOrDirectorInd_percent_female': 37.5}
11-2544630,BROWNSVILLE COMMUNITY DEVELOPMENT CORP,WWW.BMSFHC.ORG,300,35733707.0,21477444.0,382569.0,65362.45360824742,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
11-2683663,CYPRESS HILLS LOCAL DEVELOPMENTCORPORATION,WWW.CYPRESSHILLS.ORG,496,16091549.0,10739209.0,211550.0,20622.77079107505,-29.702329729967403,33.33333333333333,66.66666666666666,{'IndividualTrusteeOrDirectorInd_percent_female': 66.66666666666666}
11-2783877,Mercy Haven Inc,www.mercyhaven.org,115,7418367.0,3712768.0,250931.0,30366.991228070176,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
11-3112635,NEW YORK EDGE INC,WWW.NEWYORKEDGE.ORG,2087,50435175.0,35608515.0,302733.0,16572.732949087414,-30.32111532175763,40.0,60.0,{'IndividualTrusteeOrDirectorInd_percent_female': 60.0}
11-3580024,INTERNATIONAL CENTER FOR TRANSITIONALJUSTICE INC,WWW.ICTJ.ORG,22,8930242.0,4111907.0,209226.0,187510.44444444444,-3.4034058907331945,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
11-3599459,ROADS TO SUCCESS INC,WWW.ROADSTOSUCCESS.ORG,338,6160222.0,5068750.0,161351.0,14562.014836795252,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
11-3632924,ROW NEW YORK INC,WWW.ROWNEWYORK.ORG,64,5184908.0,2398689.0,195385.0,32975.48387096774,-100.0,0.0,100.0,{'OfficerInd_percent_female': 100.0}
11-3669999,MOSAIC,WWW.MOSAICINFO.ORG,5671,340359750.0,181491030.0,620845.0,30997.257264351523,19.206993257354263,25.925925925925924,74.07407407407408,"{'HighestCompensatedEmployeeInd_percent_female': 100.0, 'KeyEmployeeInd_percent_female': 70.0, 'OfficerInd_percent_female': 50.0}"
11-3748466,ACADEMY FOR GLOBAL CITIZENSHIPCHARTER SCHOOL,WWW.AGCCHICAGO.ORG,95,17260099.0,5309996.0,220707.0,52821.086021505376,19.835800405061914,50.0,50.0,{'IndividualTrusteeOrDirectorInd_percent_female': 50.0}
11-3769438,National Math & Science Initiative Inc,WWW.NMS.ORG,420,17502087.0,11206235.0,364405.0,21730.634146341465,-4.510463388159144,50.0,50.0,"{'HighestCompensatedEmployeeInd_percent_female': 40.0, 'OfficerInd_percent_female': 60.0}"
11-6107128,ENVIRONMENTAL DEFENSE FUND INCORPORATED,WWW.EDF.ORG,901,284762302.0,114362944.0,922022.0,122093.64269662922,13.790912297733653,54.54545454545454,45.45454545454545,"{'HighestCompensatedEmployeeInd_percent_female': 40.0, 'KeyEmployeeInd_percent_female': 66.66666666666666, 'OfficerInd_percent_female': 33.33333333333333}"
13-1623838,ENGENDERHEALTH INC,WWW.ENGENDERHEALTH.ORG,58,26096101.0,13127646.0,507578.0,224277.23913043478,-26.1355272428139,41.66666666666667,58.333333333333336,{'IndividualTrusteeOrDirectorInd_percent_female': 58.333333333333336}
13-1624046,INSTITUTE OF INTERNATIONAL EDUCATION,WWW.IIE.ORG,569,326453880.0,58808419.0,822802.0,97510.83720930232,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
