,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
33,42104168,Ellis Early Learning Inc,BOSTON,MA,1699488000000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,1.0,4.0,1.0,,,,13.0,1.0,,,,,,,,,,,,,2.0,18.0,,,,,,,9.0,,4.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,47.0,40.0,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,152234.0,0.0,-1.0,0.0,100.0,31779.0989010989,161075.0,3196366.0,ELLISMEMORIAL.ORG,93,4832643.0,,60.0,83.33333333333334,,
35,42104257,East Boston Social Centers Inc,East Boston,MA,1699574400000000000,White/Caucasian/European,Male,,,Person without a disability,,,,,,17.0,,2.0,5.0,,,,10.0,,,,,8.0,9.0,,,,,,,,,,,,,,,,15.0,,1.0,3.0,,2.0,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,101.0,,3.0,73.0,,,3.0,20.0,2.0,,,,89.0,12.0,,,,,,,,,,,,,,,,0.0,183604.0,100.0,100.0,0.0,33382.076335877864,183604.0,4556656.0,WWW.EBSOC.ORG,132,8336399.0,50.0,46.666666666666664,33.33333333333333,,
36,42104377,Lawrence Boys Club & Girls Club Inc,Lawrence,MA,1700006400000000000,White/Caucasian/European,Male,,,Person without a disability,,,,,,26.0,1.0,1.0,3.0,,,,21.0,,,,,8.0,18.0,,,,,,,,,,,,,,,,6.0,,,1.0,,,,5.0,,,,,3.0,3.0,,,,,,,6.0,,,,,,,,,53.0,1.0,,21.0,,,,30.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,167194.0,100.0,100.0,0.0,28964.1875,167194.0,2020902.0,www.lawrencebgc.com,65,4286609.0,100.0,23.809523809523807,0.0,,
37,42104754,Child & Family Services Inc,New Bedford,MA,1642672564000000000,White/Caucasian/European,Female,,,,,,,,,12.0,0.0,3.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,5.0,7.0,,,,,,,,,,,,1.0,11.0,,,66.0,0.0,5.0,2.0,,0.0,,55.0,4.0,,,,55.0,11.0,,,,,,,,,,,,,,,,456.0,4.0,47.0,41.0,,0.0,,330.0,19.0,,2.0,13.0,,,,,,,,,,,,,,3.0,453.0,,,207038.0,180015.0,-15.011526817209678,33.33333333333333,66.66666666666666,41690.74827586207,236318.0,24774725.0,WWW.CHILD-FAMILYSERVICES.ORG,583,37057328.0,60.0,44.44444444444444,33.33333333333333,,
38,42104757,New England Historic Genealogical Society Inc,BOSTON,MA,1629831231000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,25.0,,,,,,,,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,74.0,,10.0,,,56.0,27.0,1.0,,,,,,,,,,,,,,,335292.0,222106.6,-50.95994445910207,71.42857142857143,28.57142857142857,71650.10869565218,514865.0,8372927.0,AMERICANANCESTORS.ORG,99,13569592.0,40.0,44.44444444444444,33.33333333333333,,
39,42105756,Familyaid Boston Inc,Jamaica Plain,MA,1646986912000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,17.0,,2.0,1.0,,,,14.0,,,,,5.0,12.0,,,,0.0,17.0,0.0,0.0,1.0,16.0,,,0.0,17.0,0.0,0.0,5.0,,1.0,1.0,,,,3.0,,,,,4.0,1.0,,,,,5.0,,,1.0,4.0,,0.0,,5.0,,,96.0,3.0,44.0,19.0,,,,30.0,,,,,,,,,96.0,,,,96.0,3.0,,,93.0,6.0,,,90.0,162583.0,203741.0,20.201137718966727,33.33333333333333,66.66666666666666,50125.234375,203741.0,6944937.0,WWW.FAMILYAIDBOSTON.ORG,131,14637192.0,50.0,33.33333333333333,57.14285714285714,,
40,42106173,Carroll Center for the Blind Inc,Newton,MA,1642526580000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,1.0,,,,,17.0,,,,,6.0,12.0,,,,,,,,,,,,2.0,16.0,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,5.0,,,,0.0,5.0,,,5.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,79.0,,,0.0,349306.0,100.0,100.0,0.0,37940.44852941176,349306.0,5509207.0,WWW.CARROLL.ORG,137,7857415.0,100.0,41.66666666666667,25.0,,
41,42106765,Morgan Memorial Goodwill Industries Inc,Roxbury,MA,1698883200000000000,White/Caucasian/European,Female,,,,,,,,,12.0,1.0,2.0,1.0,,,,8.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,5.0,,316.0,11.0,91.0,79.0,,2.0,,124.0,7.0,,2.0,,198.0,118.0,,,,,,,,,,,,25.0,281.0,10.0,,362349.3333333333,202177.0,-79.22381543564961,50.0,50.0,27822.558983666062,625717.0,17023809.0,WWW.GOODWILLMASS.ORG,557,36409751.0,40.0,57.14285714285714,83.33333333333334,50.0,
42,42171186,Walker Inc,Needham,MA,1675296000000000000,Asian/Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,,,,5.0,0.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,5.0,,254.0,6.0,53.0,23.0,,2.0,,135.0,5.0,,30.0,,,,,,,,,,,,,,,14.0,56.0,184.0,,180785.5,254481.0,28.95913643847674,42.857142857142854,57.14285714285714,36931.67175572519,351187.0,16000732.0,WWW.WALKERCARES.ORG,400,27525942.0,60.0,50.0,57.14285714285714,,
50,42387225,Boys and Girls Clubs of Metrowest Inc,MARLBOROUGH,MA,1674172800000000000,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Decline to state,,,,,,18.0,1.0,3.0,1.0,,,,13.0,,,,,10.0,8.0,,,,,18.0,,,,,18.0,,,,18.0,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,4.0,,,,,4.0,,,,4.0,,107.0,,21.0,14.0,,,,50.0,22.0,,,,58.0,49.0,,,,,,107.0,,,,107.0,,,,107.0,,151934.0,0.0,-1.0,0.0,100.0,14116.93893129771,151934.0,2001253.0,WWW.BGCMETROWEST.ORG,132,3792862.0,,64.28571428571429,50.0,,
51,42393108,Charles River Association for Retarded Citizens Inc,Needham,MA,1697760000000000000,White/Caucasian/European,Female,,,Person without a disability,,,,,,16.0,,,,,,,,,,,,6.0,10.0,,,,,,,,,,,,1.0,15.0,,,5.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,5.0,,,522.0,10.0,305.0,19.0,,1.0,,181.0,6.0,,,,,,,,,,,,,,,,,,,,,236787.5,0.0,-1.0,0.0,100.0,39786.15780730897,319040.0,24424842.0,CHARLESRIVERCENTER.ORG,604,32274247.0,0.0,30.76923076923077,71.42857142857143,,
52,42430193,Willie Ross School for the Deaf Inc,Longmeadow,MA,1687305600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,22.0,,,,,,,9.0,,,13.0,,5.0,4.0,,13.0,,,8.0,14.0,,,8.0,14.0,,4.0,4.0,14.0,,7.0,,,,,,,5.0,,,2.0,,3.0,2.0,,2.0,,,1.0,6.0,,,4.0,3.0,,3.0,2.0,2.0,,65.0,2.0,,2.0,,,,22.0,1.0,,38.0,,23.0,2.0,1.0,39.0,,1.0,1.0,63.0,,5.0,19.0,40.0,1.0,7.0,16.0,42.0,,0.0,167022.0,100.0,100.0,0.0,47215.90243902439,167022.0,4038726.0,WWW.WILLIEROSSSCHOOL.ORG,83,4971017.0,,52.94117647058824,0.0,,
53,42448579,Hope House Inc,BOSTON,MA,1640082423000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,,,,,,,,,,,,2.0,9.0,,,,,,,,,,,,7.0,0.0,,4.0,7.0,,2.0,1.0,,,,3.0,,,,1.0,4.0,3.0,,,,,,,,2.0,,,5.0,4.0,,,3.0,65.0,4.0,24.0,8.0,,1.0,,19.0,2.0,,,7.0,,,,,,,,,,,,,,,,,,0.0,177707.0,100.0,100.0,0.0,55514.666666666664,177707.0,3675131.0,WWW.HOPEHOUSEBOSTON.ORG,64,6395082.0,,41.66666666666667,33.33333333333333,,
54,42488502,National Consumer Law Center Inc,BOSTON,MA,1691020800000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11.0,1.0,3.0,2.0,,,,5.0,,,,,6.0,5.0,,,,,11.0,,,,,,,,,,,7.0,,1.0,,,,,6.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,51.0,4.0,2.0,,,,,30.0,1.0,,14.0,,30.0,20.0,1.0,,,,,,,,,,,,,,,198045.25,211719.0,6.4584425582966105,55.55555555555556,44.44444444444444,102055.26984126984,266478.0,8280258.0,WWW.NCLC.ORG,72,12110427.0,40.0,55.55555555555556,50.0,,
55,42518368,Way Finders Inc,Springfield,MA,1660867200000000000,Black/African American,Male,Not transgender (cisgender),,,,,,,,21.0,,4.0,3.0,,,,12.0,2.0,,,,12.0,9.0,,,,,,,,,,,,,,,,8.0,1.0,4.0,1.0,,,,2.0,,,,,6.0,2.0,,,,,,,,,,,,,,,,297.0,4.0,41.0,151.0,,,,90.0,9.0,,,2.0,212.0,85.0,,,,,,,,,,,,,,,,173238.0,182268.0,4.954243202317467,50.0,50.0,45700.806615776084,235024.0,19026935.0,WWW.WAYFINDERS.ORG,399,168594430.0,100.0,73.33333333333333,61.53846153846154,,0.0
56,42518575,Bay Cove Human Services Inc,Boston,MA,1667827065000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,20.0,2.0,2.0,,,,,16.0,,,,,7.0,13.0,,,,,,,,3.0,17.0,,,,,,,6.0,0.0,0.0,1.0,,0.0,,5.0,,,,,3.0,3.0,,,,,6.0,,,1.0,5.0,,,,6.0,,,1977.0,56.0,1117.0,128.0,,14.0,,555.0,57.0,,50.0,,1318.0,659.0,,,,,,,,,,,,115.0,1222.0,119.0,521.0,213010.33333333334,302635.0,29.61477247068801,33.33333333333333,66.66666666666666,44642.94867008866,391676.0,97855806.0,WWW.BAYCOVE.ORG,2152,138026534.0,80.0,33.33333333333333,50.0,,
57,42535767,Union of Concerned Scientists Inc,CAMBRIDGE,MA,1655942400000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,,3.0,0.0,,,,16.0,,,,,6.0,13.0,,,,,,,,,,,,,,,,25.0,1.0,,,,,,22.0,2.0,,,,14.0,11.0,,,,,,,,,,,,,,,,234.0,19.0,16.0,19.0,,2.0,,164.0,14.0,,,,153.0,79.0,2.0,,,,,,,,,,,,,,,337331.8333333333,260891.16666666666,-29.299829366907144,50.0,50.0,113832.69264069264,630877.0,29884690.0,WWW.UCSUSA.ORG,243,48698312.0,0.0,31.25,62.5,100.0,0.0
58,42562646,Mystic Valley Elder Services Inc,Malden,MA,1700611200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,21.0,,0.0,2.0,,,,19.0,,,,,14.0,7.0,,,,,21.0,,,1.0,16.0,,4.0,2.0,,,19.0,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,3.0,,,,,,,,,,,324.0,20.0,34.0,37.0,,0.0,,231.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,226049.0,232922.33333333334,2.950912106610648,75.0,25.0,51580.346666666665,345888.0,20267446.0,WWW.MVES.ORG,379,94729966.0,60.0,66.66666666666666,60.0,100.0,
61,42678774,Codman Square Health Center Inc,DORCHESTER,MA,1572889693000000000,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,1.0,6.0,0.0,,0.0,,7.0,,,,,6.0,8.0,,,,,,,,,,,,,,,,7.0,1.0,3.0,1.0,,0.0,,2.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,316.0,3.0,210.0,13.0,,0.0,,75.0,15.0,,0.0,0.0,267.0,49.0,,,,,,,,,,,,,,,,231598.6,231346.5,-0.10897074301967215,54.54545454545454,45.45454545454545,54898.78450363196,355189.0,25219270.0,WWW.CODMAN.ORG,424,56129648.0,40.0,58.333333333333336,50.0,,
63,42698497,Planned Parenthood League of Massachusetts Inc,Boston,MA,1698675249000000000,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,,,,,,,,,21.0,2.0,5.0,,,0.0,,12.0,2.0,,,,16.0,3.0,1.0,1.0,,3.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,14.0,17.0,,,1.0,,117.0,13.0,,77.0,10.0,123.0,8.0,10.0,105.0,3.0,,,,,,,,,,,,,239932.75,227487.5,-5.470740150557723,33.33333333333333,66.66666666666666,39443.54682779456,411509.0,14470520.0,WWW.PPLM.ORG,337,31439793.0,100.0,64.70588235294117,66.66666666666666,66.66666666666666,
64,42708824,Greater Lawrence Family Health Center Inc,METHUEN,MA,1674604800000000000,Black/African American,Male,,,Person without a disability,,,,,,15.0,,1.0,5.0,,,,9.0,,,,,7.0,7.0,,,1.0,,,,,,,,,,,,,7.0,1.0,1.0,,,,,5.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,740.0,34.0,15.0,439.0,,0.0,,235.0,11.0,,6.0,0.0,626.0,114.0,,,,,,,,,,,,,,,,277114.28571428574,274288.85714285716,-1.030092363525004,50.0,50.0,62096.33049946865,400684.0,62292469.0,WWW.GLFHC.ORG,955,81574063.0,60.0,54.54545454545454,50.0,,
