,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,total_compensation,web_address,num_employees,total_revenue
10,30335768,TRI-VALLEY TRANSIT INC,% ADDISON COUNTY REG PLAN COMM,297 CREEK RD,MIDDLEBURY,VT,05753-1906,0,3,3,1000,199308,1,15,994560000,1,1,202206.0,8,7,1,0,6,10601188.0,7100109.0,7100109.0,P20,,30335768,Tri-Valley Transit Inc,Middlebury,VT,1674000000000000000,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,,,,,,7.0,,,,,,,,,,7.0,,2.0,5.0,,,,,,7.0,,,,7.0,,,,7.0,,7.0,,,,,,,7.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,60.0,,,1.0,,,,55.0,,,4.0,,,,,,,,,,,,,,,,,,,0.0,159557.0,100.0,1.0,0.0,3508098,WWW.TRIVALLEYTRANSIT.ORG,66,7100109
11,42103547,TRUSTEES OF BOSTON UNIVERSITY,% NICOLE TIRELLA,881 COMMONWEALTH AVE 4TH FL,BOSTON,MA,02215-1390,0,3,3,1000,193710,1,11,0,1,1,202206.0,9,9,1,0,6,8017718487.0,5660019071.0,3129652283.0,,,42103547,Trustees of Boston University  ,BOSTON,MA,1638956465000000000,,,,,,,,,,,39.0,6.0,6.0,2.0,,0.0,,25.0,0.0,,0.0,0.0,15.0,24.0,,,,,,,,,,,,,,,,52.0,4.0,5.0,2.0,,0.0,,38.0,2.0,,0.0,1.0,24.0,28.0,,,,,,,,,,,,,,,,10406.0,,,,,,,,,,,,5594.0,4812.0,,,,,,,,,,,,,,,,596966.8571428572,729820.25,18.20357723112545,0.5333333333333333,0.4666666666666667,1333460319,http://www.bu.edu,25806,3129652283
12,42103597,MASSACHUSETTS SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,% SHAUNA CORLISS,350 S HUNTINGTON AVE,BOSTON,MA,02130-4803,0,3,3,4000,193411,1,16,999000000,1,1,202212.0,9,9,1,0,12,202243396.0,139574462.0,95955811.0,D200,,42103597,Massachusetts Society for the Prevention of Cruelty To Animals,BOSTON,MA,1653557366000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,,,,1.0,,16.0,,,,,12.0,5.0,,,,,17.0,,,2.0,15.0,,,,17.0,,,5.0,,,,,,,5.0,,,,,3.0,2.0,,,,,5.0,,,,5.0,,,,5.0,,,679.0,37.0,17.0,39.0,,2.0,,564.0,19.0,,1.0,,580.0,99.0,,,,,,,,,,,,39.0,555.0,85.0,,417783.3333333333,457248.0,8.63091072386685,0.7,0.3,56623033,WWW.MSPCA.ORG,886,97484812
13,42103652,AMERICAN ANTIQUARIAN SOCIETY,% CAROL ANN MACKEY,185 SALISBURY ST,WORCESTER,MA,01609-1636,0,3,3,1200,192906,1,15,30059062,1,1,202208.0,9,8,1,0,8,103407442.0,10303544.0,8610061.0,B700,,42103652,American Antiquarian Society,Worcester,MA,1692662400000000000,White/Caucasian/European,Male,,,,,,,,,20.0,,,,,,,,,,,,7.0,13.0,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,35.0,15.0,,,,,,,,,,,,,,,,157444.0,281042.0,43.978480084827176,0.5,0.5,3428403,WWW.AMERICANANTIQUARIAN.ORG,51,8610061
14,42103714,ANIMAL RESCUE LEAGUE OF BOSTON,% ANIM,10 ANNAS PL,DEDHAM,MA,02026-4042,0,3,3,1000,194309,1,15,913000000,1,1,202112.0,9,8,1,0,12,140090170.0,36785473.0,17733553.0,D200,,42103714,Animal Rescue League of Boston,DEDHAM,MA,1651069271000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,2.0,1.0,4.0,,,,96.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,181507.33333333334,280223.0,35.22753901951898,0.25,0.75,7464220,WWW.ARLBOSTON.ORG,143,17733553
15,42103922,BOYS AND GIRLS CLUBS OF BOSTON INC,,200 HIGH ST LBBY 3,BOSTON,MA,02110-3045,0,3,3,1200,193303,1,15,298059328,1,1,202206.0,9,9,1,0,6,138392612.0,52774411.0,45189768.0,O230,,42103922,Boys and Girls Clubs of Boston Inc,Boston,MA,1690202162000000000,Black/African American,Male,,,,,,,,,66.0,1.0,6.0,1.0,,0.0,,58.0,0.0,,0.0,0.0,18.0,48.0,0.0,0.0,0.0,,,,,,,,,,,,,95.0,1.0,22.0,13.0,,0.0,,52.0,7.0,,,,48.0,47.0,,,,,,,,,,,,,,,,296.0,4.0,80.0,58.0,,0.0,,129.0,25.0,,,,178.0,118.0,,,,,,,,,,,,,,,,188028.5,241057.75,21.99856673349021,0.5,0.5,15954294,WWW.BGCB.ORG,321,45189768
16,42103979,CATHOLIC CHARITIES DIOCESE OF WORCESTER INC,% HEIDI DESIATA,10 HAMMOND ST,WORCESTER,MA,01610-1513,928,3,9,1000,198209,1,10,0,5,1,202206.0,8,8,1,0,6,14992704.0,12132182.0,11466472.0,,,42103979,Catholic Charities Diocese of Worcester Inc,Worcester,MA,1681084800000000000,Decline to state,Decline to state,Decline to state,Decline to state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,8.0,,,,8.0,,,,8.0,,,,8.0,,250.0,,,,,,,,,,250.0,,,,,250.0,,,,,,,,250.0,,,,250.0,,0.0,152052.0,100.0,1.0,0.0,8314981,WWW.CCWORC.ORG,443,11466472
17,42104057,BRIDGES HOMEWARD INC,% KAESTA CAMPBELL SMTH,60 GORE STREET,CAMBRIDGE,MA,02141-1278,0,3,3,2000,194210,1,15,999000000,1,1,202206.0,7,7,1,0,6,9684918.0,8306446.0,7257009.0,P400,,42104057,Bridges Homeward Inc,CAMBRIDGE,MA,1690934400000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,1.0,3.0,1.0,,,,14.0,,,,,14.0,5.0,,,,,,,,,,,,,,,,7.0,,2.0,,,,,5.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,55.0,1.0,5.0,,14.0,0.0,0.0,23.0,4.0,,1.0,7.0,42.0,5.0,1.0,1.0,6.0,,,,,8.0,41.0,,6.0,3.0,43.0,3.0,6.0,0.0,207076.0,100.0,1.0,0.0,4623293,WWW.BRIDGESHOMEWARD.ORG,141,7257009
18,42104754,CHILD & FAMILY SERVICES INC,,3057 ACUSHNET AVE,NEW BEDFORD,MA,02745-3636,0,3,3,1000,193804,1,15,602356000,1,1,202206.0,8,8,1,0,6,21919965.0,38035016.0,37057328.0,,,42104754,Child & Family Services Inc,New Bedford,MA,1642672564000000000,White/Caucasian/European,Female,,,,,,,,,12.0,0.0,3.0,1.0,,0.0,,8.0,0.0,,0.0,0.0,5.0,7.0,,,,,,,,,,,,1.0,11.0,,,66.0,0.0,5.0,2.0,,0.0,,55.0,4.0,,,,55.0,11.0,,,,,,,,,,,,,,,,456.0,4.0,47.0,41.0,,0.0,,330.0,19.0,,2.0,13.0,,,,,,,,,,,,,,3.0,453.0,,,236318.0,178886.5,-32.10499394867695,0.6666666666666666,0.3333333333333333,24774725,WWW.CHILD-FAMILYSERVICES.ORG,583,37057328
19,42104757,NEW ENGLAND HISTORIC GENEALOGICAL SOCIETY INC,,99 NEWBURY ST # 101,BOSTON,MA,02116-3007,0,3,3,2000,192205,1,16,59000000,1,1,202208.0,9,8,1,0,8,58526477.0,15381155.0,13569592.0,,,42104757,New England Historic Genealogical Society Inc,BOSTON,MA,1629831231000000000,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,25.0,,,,,,,,,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,74.0,,10.0,,,56.0,27.0,1.0,,,,,,,,,,,,,,,335292.0,222106.6,-50.95994445910207,0.7142857142857143,0.2857142857142857,8372927,AMERICANANCESTORS.ORG,99,13569592
20,42105756,FAMILYAID BOSTON INC,% JACK LANGLEY,3815 WASHINGTON STREET,BOSTON,MA,02130-3745,0,3,3,1000,195306,1,15,279000000,1,1,202206.0,8,8,1,0,6,11166112.0,14681211.0,14637192.0,,,42105756,Familyaid Boston Inc,Jamaica Plain,MA,1646986912000000000,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,17.0,,2.0,1.0,,,,14.0,,,,,5.0,12.0,,,,0.0,17.0,0.0,0.0,1.0,16.0,,,0.0,17.0,0.0,0.0,5.0,,1.0,1.0,,,,3.0,,,,,4.0,1.0,,,,,5.0,,,1.0,4.0,,0.0,,5.0,,,96.0,3.0,44.0,19.0,,,,30.0,,,,,,,,,96.0,,,,96.0,3.0,,,93.0,6.0,,,90.0,162583.0,203741.0,20.201137718966727,0.3333333333333333,0.6666666666666666,6944937,WWW.FAMILYAIDBOSTON.ORG,131,14637192
21,42106173,CARROLL CENTER FOR THE BLIND INC,,770 CENTRE ST,NEWTON,MA,02458-2530,0,3,3,1200,195606,1,16,59000000,1,1,202206.0,8,8,1,0,6,12273464.0,10066931.0,7857415.0,G41Z,,42106173,Carroll Center for the Blind Inc,Newton,MA,1642526580000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,1.0,,,,,17.0,,,,,6.0,12.0,,,,,,,,,,,,2.0,16.0,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,5.0,,,,0.0,5.0,,,5.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,79.0,,,0.0,349306.0,100.0,1.0,0.0,5509207,WWW.CARROLL.ORG,137,7857415
22,42106765,MORGAN MEMORIAL GOODWILL INDUSTRIES INC,% LAUREL FORD,1010 HARRISON AVE,BOSTON,MA,02119-2540,0,3,3,1000,192803,1,15,325566160,1,1,202206.0,8,8,1,0,6,44929635.0,46541707.0,36409751.0,J320,,42106765,Morgan Memorial Goodwill Industries Inc,Roxbury,MA,1683590400000000000,White/Caucasian/European,Female,,,,,,,,,12.0,1.0,2.0,1.0,,,,8.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,5.0,,483.0,16.0,147.0,113.0,,1.0,,191.0,14.0,,1.0,,313.0,170.0,,,,,,,,,,,,46.0,415.0,22.0,,362349.3333333333,202177.0,-79.22381543564961,0.5,0.5,17023809,WWW.GOODWILLMASS.ORG,557,36409751
23,42171186,WALKER INC,% NICOLE DESHENES,1968 CENTRAL AVE,NEEDHAM,MA,02492-1410,0,3,3,1200,195208,1,15,161180059,1,1,202206.0,8,8,1,0,6,36656380.0,27732819.0,27525942.0,B28Z,,42171186,Walker Inc,Needham,MA,1675296000000000000,Asian/Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,,,,5.0,0.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,5.0,,254.0,6.0,53.0,23.0,,2.0,,135.0,5.0,,30.0,,,,,,,,,,,,,,,14.0,56.0,184.0,,180785.5,254481.0,28.95913643847674,0.42857142857142855,0.5714285714285714,16000732,WWW.WALKERCARES.ORG,400,27525942
24,42226199,THE ARC OF OPPORTUNITY IN NORTH CENTRAL MASSACHUSETTS INC,,564 MAIN ST,FITCHBURG,MA,01420-8011,0,3,3,1000,195305,1,15,59160000,1,1,202206.0,8,8,1,0,6,18467193.0,18768525.0,18583549.0,,,42226199,The Arc of Opportunity in North Central Massachusetts Inc,Fitchburg,MA,1679443200000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,10.0,,,,,,,9.0,1.0,,,,3.0,6.0,1.0,,,,8.0,2.0,,,10.0,,,3.0,7.0,,,6.0,,1.0,,1.0,,,3.0,1.0,,,,3.0,3.0,,,,,6.0,,,,6.0,,,1.0,5.0,,,235.0,2.0,99.0,14.0,,1.0,2.0,54.0,5.0,,12.0,46.0,99.0,107.0,,8.0,21.0,0.0,167.0,24.0,44.0,21.0,135.0,34.0,45.0,11.0,163.0,11.0,50.0,196186.0,0.0,-1.0,0.0,1.0,12748138,arcofopportunity.org,381,18583549
25,42261109,THIRD SECTOR NEW ENGLAND INC,,89 SOUTH ST STE 700,BOSTON,MA,02111-2679,0,3,3,8000,196011,1,15,161180059,1,1,202206.0,9,9,1,0,6,144887260.0,95505632.0,83599694.0,H030,,42261109,Third Sector New England Inc,BOSTON,MA,1670198400000000000,Asian/Asian American,Female,Not transgender (cisgender),,,,,,,,8.0,1.0,4.0,1.0,,,,2.0,,,,,6.0,2.0,,,,,,,,2.0,6.0,,,,,,,108.0,8.0,15.0,11.0,,0.0,,69.0,4.0,1.0,0.0,0.0,85.0,23.0,0.0,0.0,0.0,0.0,3.0,105.0,0.0,,,,,2.0,90.0,16.0,0.0,107.0,8.0,15.0,11.0,,0.0,,69.0,4.0,,0.0,0.0,85.0,22.0,0.0,0.0,0.0,0.0,3.0,104.0,0.0,,,,,2.0,89.0,16.0,0.0,218744.33333333334,213455.0,-2.4779617874181175,0.14285714285714285,0.8571428571428571,34417378,WWW.TSNE.ORG,580,83599694
26,42297514,NEW ENGLAND AQUARIUM CORPORATION,% MATTHEW USTASZEWSKI,1 CENTRAL WHARF,BOSTON,MA,02110-3309,0,3,3,1000,196011,1,15,59060000,1,1,202112.0,9,9,1,0,12,97527148.0,57725613.0,52802901.0,D500,,42297514,New England Aquarium Corporation,BOSTON,MA,1667174400000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,23.0,2.0,,,,,,21.0,,,,,8.0,15.0,,,,,,,,,,,,,,,,9.0,,1.0,,,,,8.0,,,,,6.0,3.0,,,,,,,,,,,,,,,,259.0,11.0,12.0,13.0,,,,214.0,5.0,,4.0,,180.0,79.0,,,,,,,,,,,,23.0,215.0,21.0,,327052.5,229382.42857142858,-42.57957858274111,0.7777777777777778,0.2222222222222222,13696792,WWW.NEAQ.ORG,300,52802901
27,42382027,COMMUNITY TEAMWORK INC,,155 MERRIMACK ST,LOWELL,MA,01852-1723,0,3,3,1200,196601,1,15,59566000,1,1,202206.0,8,9,1,0,6,42258577.0,200557174.0,200534609.0,P200,,42382027,Community Teamwork Inc,Lowell,MA,1678320000000000000,White/Caucasian/European,Female,,,,,,,,,24.0,3.0,2.0,2.0,,,,17.0,,,,,13.0,11.0,,,,,,,,,,,,,,,,12.0,2.0,2.0,,,,,8.0,,,,,11.0,1.0,,,,,,,,,,,,,,,,483.0,40.0,26.0,139.0,0.0,1.0,0.0,255.0,22.0,,,,399.0,84.0,,,,,,,,,,,,,,,,185354.5,162267.0,-14.228093204410017,0.3333333333333333,0.6666666666666666,30723991,WWW.COMMTEAM.ORG,653,200534609
