ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female,category,Average Salary,CEO Pay Ratio,Candid Reporting,Diversity Reporting,Highest Compensated,Officers,Pay Gap,Trustees,total_score
133191113,Neo Philanthropy Inc,NEW YORK,NY,1.64018E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10,,2,1,,,,6,1,,,,4,6,,,,,,,,3,7,,,,10,,,3,1,0,0,,0,,2,0,,0,0,3,,,,,,,,,1,2,0,0,0,3,0,0,120,23,33,22,,,,31,,10,1,,102,12,4,1,1,,,,,32,85,3,,10,107,3,,245873.4444,243696.5,-0.893301481,18.18181818,81.81818182,69551.61238,346597,24052599,WWW.NEOPHILANTHROPY.ORG,318,144358199,60,50,55.55555556,100,,other,4,4,5,5,6,6,8,10,48
111904261,Brooklyn Public Library,BROOKLYN,NY,1.647E+18,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,32,1,9,3,,0,,12,1,,1,5,14,13,,,5,,20,7,5,2,24,1,5,2,24,1,5,4,,,,,,,4,,,,,2,2,,,,,,,,,,,,,,,,1189,107,404,107,,,,357,48,,166,,761,428,,,,,,,,,,,,,,,,340309.4,267447.75,-27.24332136,44.44444444,55.55555556,74197.76405,626087,103086715,WWW.BKLYNLIBRARY.ORG,1361,179417090,40,43.47826087,50,0,,other,4,2,5,5,6,10,10,6,48
135562191,The Childrens Aid Society,NEW YORK,NY,1.62125E+18,White/Caucasian/European,Female,,,,,,,,,25,1,4,1,,0,,18,1,,,,13,12,,,,,,,,,,,,,,,,50,3,13,11,,1,,22,0,,,,38,12,,,,,,,,,,,,,,,,1936,69,572,897,,15,,327,56,,,,1445,491,,,,,,,,,,,,,,,,317938.1667,274734.25,-15.72571191,40,60,42389.33273,551732,96263098,WWW.CHILDRENSAIDNYC.ORG,2210,167116580,60,50,45.45454545,100,,other,2,2,5,5,6,8,10,10,48
941730465,Earthjustice,San Francisco,CA,1.67651E+18,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,31,0,3,5,,2,,21,,,,,14,17,0,,,,,,,,,,,,,,,7,1,1,,,,,4,1,,,,4,3,,,,,,,,,,,,,,,,565,82,60,66,,4,,310,35,,8,,377,182,,6,,,,,,,,,,,,,,380771.8333,353665.8333,-7.664297041,50,50,138879.0701,536931,85650882,WWW.EARTHJUSTICE.ORG,597,135320966,60,44.82758621,60,50,,other,5,5,5,5,6,6,10,6,48
542132153,Redf,San Francisco,CA,1.69525E+18,Asian/Asian American,Female,,,,White/Caucasian/European,Male,,,,16,0,4,2,,0,,10,,,,,5,11,,,,,,,,,,,,,,,,15,2,5,,,,,8,,,,,9,6,,,,,,,,,,,,,,,,64,10,13,9,,,1,29,2,,,,47,17,,,,,,,,,,,,,,,,237133,244343,2.950770024,44.44444444,55.55555556,102294.9412,317881,9119093,www.redf.org,77,17800426,60,53.84615385,37.5,0,,other,5,5,5,5,6,6,8,8,48
42488502,National Consumer Law Center Inc,BOSTON,MA,1.69102E+18,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,11,1,3,2,,,,5,,,,,6,5,,,,,11,,,,,,,,,,,7,,1,,,,,6,,,,,4,3,,,,,,,,,,,,,,,,51,4,2,,,,,30,1,,14,,30,20,1,,,,,,,,,,,,,,,198045.25,211719,6.458442558,55.55555556,44.44444444,102055.2698,266478,8280258,WWW.NCLC.ORG,72,12110427,40,55.55555556,50,,,other,5,5,5,5,6,10,6,6,48
589132803,Legal Aid of East Tennessee Inc,Knoxville,TN,1.68774E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14,,1,1,,,,12,,,,,7,7,,,,,,,,,,,,,,,,8,,,,,,,8,,,,,5,3,,,,,,,,,,,,,,,,60,,3,,,,,57,,,,,,,,,,,,,,,,,,,,,,181904.5,167328.5,-8.711008585,50,50,65953.83077,202340,4985465,WWW.LAET.ORG,69,5868375,50,50,66.66666667,0,,other,4,5,5,0,10,4,10,10,48
61063025,Connecticut Foodshare Inc,WALLINGFORD,CT,1.69707E+18,White/Caucasian/European,Male,,,,,,,,,19,1,1,3,,,,13,,,,1,11,8,,,,,,,,,,,,,,,,11,,0,,,,,11,,,,,7,4,,,,,,,,,,,,,,,,124,3,19,24,,,,75,2,,,1,55,69,,,,,,,,,,,,,,,,203026,192843,-5.280461308,50,50,65942.10606,203026,4748048,WWW.CTFOODBANK.ORG,68,78588911,,53.33333333,50,,,other,4,5,5,5,0,10,10,8,47
300038860,Lone Star Community Health Center Inc,Conroe,TX,1.69327E+18,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,11,0,2,6,0,0,0,3,0,,0,0,4,7,0,0,0,,,,,,,,,,,,,4,1,0,1,0,0,0,2,0,,0,0,3,1,0,0,0,,,,,,,,,,,,,222,18,13,123,0,0,0,57,11,,0,0,181,41,,,,,,,,,,,,,,,,294384.8,295650.3333,0.428050704,37.5,62.5,66775.32567,405807,19787235,WWW.LONESTARFAMILY.ORG,269,30112836,40,44.44444444,50,,,hospital,4,3,5,5,6,10,8,6,47
800790222,Commit2Dallas,DALLAS,TX,1.66571E+18,White/Caucasian/European,Male,Not transgender (cisgender),,Person without a disability,,,,,,19,,,,,,,,,,,,8,11,,,,,,,,,,,,,,,,11,1,2,1,,,,7,,,,,8,3,,,,,11,,,,,,,,,,,78,4,19,16,,,,30,1,,,8,55,23,,,,,78,,,,,,,,,,,202146.8333,202584.6667,0.216123629,33.33333333,66.66666667,79422.5303,283425,7062522,WWW.COMMITPARTNERSHIP.ORG,75,29585342,60,50,66.66666667,83.33333333,,other,4,5,5,5,6,4,8,10,47
510144434,Marine Mammal Center,SAUSALITO,CA,1.66248E+18,,Female,,,,,,,,,22,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,4,,,,,,,,2,3,,,,,,,104,1,1,2,,1,,61,2,,,36,,,,,,,,,,,,,,,,,,255281,208099.6667,-22.67246944,60,40,73752.62295,295979,10132681,WWW.MARINEMAMMALCENTER.ORG,127,22610379,40,47.36842105,33.33333333,,,other,4,5,5,5,6,4,10,8,47
133461695,Harlem United Community AIDS Center Inc,New York,NY,1.61306E+18,White/Caucasian/European,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,6,,,,,,,,,,,,4,2,,,,,6,,,,,,,,,,,7,,2,1,,,,4,,,,,4,3,,,,,7,,,2,5,,,,,,7,279,8,154,78,,3,,33,3,,,,162,117,,,,,,,,,,,,,,,,238134,176418.5,-34.98244232,57.14285714,42.85714286,47576.09322,276300,12412099,WWW.HARLEMUNITED.ORG,243,29846599,20,50,50,100,,hospital,3,4,5,5,0,10,10,10,47
521541501,Greenpeace Inc,WASHINGTON,DC,1.69418E+18,Black/African American,Female,Not transgender,,,,,,,,9,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,15,,2,1,,,,11,1,,,,9,6,,,,,,,,,,,,,,,,202,14,26,24,,2,,120,16,,,,114,80,8,,,,,,,,,,,,,,,179459.1429,191025,6.054630097,30,70,69634.41538,212572,15408000,WWW.GREENPEACEUSA.ORG,205,32508926,40,62.5,50,50,,other,4,5,5,5,6,10,6,6,47
42708824,Greater Lawrence Family Health Center Inc,METHUEN,MA,1.6746E+18,Black/African American,Male,,,Person without a disability,,,,,,15,,1,5,,,,9,,,,,7,7,,,1,,,,,,,,,,,,,7,1,1,,,,,5,,,,,4,3,,,,,,,,,,,,,,,,740,34,15,439,,0,,235,11,,6,0,626,114,,,,,,,,,,,,,,,,277114.2857,274288.8571,-1.030092364,50,50,62096.3305,400684,62292469,WWW.GLFHC.ORG,955,81574063,60,54.54545455,57.14285714,,,hospital,3,3,5,5,6,6,10,8,46
742989580,Miracle Foundation Inc,Austin,TX,1.69413E+18,,Female,,,,,,,,,9,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,19,10,0,0,,1,,4,1,1,0,2,8,9,,,2,0,17,,2,1,12,4,2,1,16,,2,70,39,,2,,3,,12,3,1,1,9,34,21,,1,14,,55,,15,2,43,9,16,1,55,,14,169565,161250,-5.156589147,50,50,133390.1667,169565,1931497,WWW.MIRACLEFOUNDATION.ORG,14,5222541,,62.5,50,,,other,5,5,5,5,0,10,10,6,46
941153307,Sierra Club,OAKLAND,CA,1.58829E+18,White/Caucasian/European,Male,,,,,,,,,15,,1,1,,,,8,1,,,4,4,7,,,4,,,,,1,9,1,4,,,,,53,4,2,1,,1,,43,2,,,,15,9,,1,28,,24,1,28,,,,,,,,,765,40,49,25,,2,,456,39,4,6,144,225,127,8,7,398,2,360,7,396,,,,,,,,,251227.9,257821.5556,2.557449295,47.36842105,52.63157895,91122.85842,552124,96228900,WWW.SIERRACLUB.ORG,1022,152093074,60,40,46.66666667,42.85714286,,other,5,3,5,5,6,8,8,6,46
470548990,Oneworld Community Health Centers Inc,OMAHA,NE,1.67599E+18,,,,,,,,,,,18,,2,10,,,,6,,,,0,8,10,,,,,18,,,1,14,,3,1,17,,,6,,,1,,,,5,,,,,4,2,,,,,6,,,,6,,,,6,,,619,13,10,421,,,,162,8,,,5,522,91,,,6,,,,619,,,,619,6,60,,553,342734.3333,245863.5,-39.40024987,57.14285714,42.85714286,48075.7348,395944,39174200,WWW.ONEWORLDOMAHA.ORG,780,72616648,40,50,33.33333333,,,hospital,3,3,5,5,6,4,10,10,46
840611876,Native American Rights Fund,Boulder,CO,1.65306E+18,Native American/American Indian/Alaska Native/Indigenous,Male,Not transgender,Heterosexual or Straight,Person without a disability,Native American/American Indian/Alaska Native/Indigenous,Male,Not transgender,Heterosexual or Straight,Person without a disability,13,,,,,13,,,,,,,7,6,,,,,13,,,,13,,,,13,,,8,,,,,6,,2,,,,,2,6,,,,,8,,,,8,,,,8,,,50,1,0,1,,25,,17,6,,,,20,30,,,,,50,,,2,48,0,,,50,,,226318.4,223814,-1.118964855,54.54545455,45.45454545,119554.1042,278327,8213073,WWW.NARF.ORG,59,17548546,60,53.84615385,30,,,other,5,5,5,5,6,2,10,8,46
112482974,Qsac Inc,NEW YORK,NY,1.69344E+18,White/Caucasian/European,Female,,,,White/Caucasian/European,Male,,,,16,1,1,,,,,14,,,,,9,7,,,,,,,,,,,,,,,,31,3,5,5,,,,18,,,,,17,14,,,,,,,,,,,,,,,,1372,95,823,220,,7,,185,42,,,,932,440,,,,,,,,,,,,,,,,285914,202825.6667,-40.96539393,37.5,62.5,38950.70642,371897,69968079,HTTP://WWW.QSAC.COM,1752,93716829,60,40,50,,,other,2,2,5,5,6,10,10,6,46
953080947,National Health Law Program Inc,LOS ANGELES,CA,1.69871E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14,,5,1,,,,8,,,,,7,7,,,,,,,,,,,,,,,,16,1,,3,,,,11,1,,,,12,4,,,,,16,,,3,13,,,1,15,,,54,6,9,7,,,,30,2,,,,45,8,1,,,2,52,,,10,44,,,5,49,,,214450.4,198811,-7.866466141,16.66666667,83.33333333,108931.4884,249171,5955117,WWW.HEALTHLAW.ORG,49,11077129,100,37.5,50,,,other,5,5,5,5,0,10,10,6,46
750800634,Childcaregroup,DALLAS,TX,1.68117E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,27,2,7,5,,,,13,,,,,18,9,,,,,27,,,,,,,,,,,6,,1,1,,,,4,,,,,4,2,,,,,6,,,,,,,,,,,402,9,200,142,,,,48,3,,,,380,22,,,,,,,,,,,,6,,,396,204994,184789,-10.9340924,50,50,42462.68465,204994,20856797,WWW.CHILDCAREGROUP.ORG,484,29694811,60,65.51724138,50,,,other,2,4,5,5,6,10,10,4,46
42678774,Codman Square Health Center Inc,DORCHESTER,MA,1.57289E+18,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14,1,6,0,,0,,7,,,,,6,8,,,,,,,,,,,,,,,,7,1,3,1,,0,,2,,,,,4,3,,,,,,,,,,,,,,,,316,3,210,13,,0,,75,15,,0,0,267,49,,,,,,,,,,,,,,,,231598.6,231346.5,-0.108970743,54.54545455,45.45454545,54898.7845,355189,25219270,WWW.CODMAN.ORG,424,56129648,40,58.33333333,50,,,hospital,3,3,5,5,6,10,8,6,46
952492427,Florence Crittenton Services of Orange County Inc,Fullerton,CA,1.63672E+18,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,10,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,10,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,448,6,36,349,,1,,44,11,1,,,,,,,,,,,,,,,,,,,,172665,125964,-37.07487854,50,50,49363.96045,172665,26510892,WWW.CRITTENTONSOCAL.ORG,533,36223972,66.66666667,66.66666667,50,,0,other,3,5,5,5,4,10,10,4,46
421772557,Global Poverty Project Inc,NEW YORK,NY,1.61569E+18,White/Caucasian/European,Male,Decline to state,Decline to state,Person without a disability,,,,,,21,,,,,,,,,,,,7,14,,,,,,,21,,,,21,,,,21,19,,,,,,,,,,19,,,,,19,,,,,19,,,,19,,,,19,88,,,,,,,,,,88,,,,,88,,,,,88,,,,88,,,,88,327111.6667,295755,-10.60224397,70,30,76236.82813,427883,12809934,WWW.GLOBALCITIZEN.ORG,138,91596868,60,39.13043478,50,0,,other,4,4,5,0,6,10,10,6,45
520880375,Urban Institute,WASHINGTON,DC,1.62203E+18,White/Caucasian/European,Female,,,,,,,,,33,2,6,4,,,,19,2,,,,11,22,,,,,,,,,,,,,,,,3,1,1,,,,,1,,,,,3,,,,,,,,,,,,,,,,,558,54,70,43,,2,,354,15,,,20,359,196,,,3,,,,,,,,,,,,,567913.6667,314817.2,-80.39473913,62.5,37.5,105962.5101,860490,82007972,www.urban.org,751,156278518,60,55.55555556,50,,,other,5,3,5,0,6,10,10,6,45
954703838,Resources Legacy Fund,SACRAMENTO,CA,1.61538E+18,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14,3,1,1,,1,,8,,,,,6,8,,,,,14,,,,14,,,,14,,,12,1,1,1,,,,6,1,,,2,8,2,,,2,,10,,2,1,8,1,2,,10,,2,82,3,5,2,,4,,40,4,,4,20,46,15,,1,20,,61,1,20,3,55,4,20,,59,3,20,257085.6,333185.6,22.84012274,50,50,130768.1667,655607,13935882,WWW.RESOURCESLEGACYFUND.ORG,94,37185698,40,50,33.33333333,100,,other,5,4,5,5,6,4,6,10,45
351019477,Heifer Project International,LITTLE ROCK,AR,1.66455E+18,,,,,,,,,,,16,1,3,1,,,,11,,,,,8,8,,,,,16,,,,16,,,,16,,,11,1,1,1,,,,6,1,,,1,5,6,,,,,,,,,,,,,5,,6,798,10,35,18,,,,170,6,,3,556,335,458,,5,,,,,,,,,,3,113,682,,187337.6364,224369.1818,16.50473793,50,50,77920.00353,530628,26580136,WWW.HEIFER.ORG,305,162258622,60,46.66666667,52.38095238,0,,other,4,3,5,5,6,8,6,8,45
430899356,Samuel U Rodgers Health Center Inc,Kansas City,MO,1.69033E+18,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,13,2,5,2,,,,4,,,,,8,5,,,,,,,,,,,,,,,,6,0,2,0,,0,,4,0,,0,,3,3,0,0,0,,,,,1,5,0,0,0,6,0,0,282,10,90,93,,,,68,12,,,9,229,53,,,,,,,,,,,,,,,,247886.3333,235302.25,-5.348050575,57.14285714,42.85714286,57374.30508,274740,18610288,WWW.RODGERSHEALTH.ORG,302,28604502,60,42.85714286,60,,,hospital,3,4,5,5,6,6,10,6,45
133753011,Storycorps Inc,BROOKLYN,NY,1.70597E+18,White/Caucasian/European,Male,Not transgender,Heterosexual or Straight,Person without a disability,Black/African American,Female,Not transgender,Heterosexual or Straight,Person without a disability,25,2,7,,,,,16,,,,,12,13,,,,,,,25,,20,,5,,,,25,7,,3,,,,,4,,,,,4,3,,,,,7,,,1,6,,,,7,,,99,5,17,12,,1,,54,4,,6,,60,26,7,6,,,,,99,26,52,15,6,3,57,12,27,173531,207778,16.48249574,57.14285714,42.85714286,51098.1875,276633,7892273,WWW.STORYCORPS.ORG,135,12121023,60,60,50,,,other,3,4,5,5,6,10,6,6,45
261759681,Partnership for Los Angeles Schools,Los Angeles,CA,1.62207E+18,White/Caucasian/European,Female,,,,,,,,,16,,3,3,,,,9,1,,,,9,7,,,,,,,,,,,,,,,,4,1,1,,,,,2,,,,,,4,,,,,,,,,,,,,,,,68,6,8,23,,,,25,5,1,,,45,22,,,1,,,,,,,,,,,,,188196.5,223518.7778,15.80282343,81.81818182,18.18181818,55447.57407,329067,11370569,WWW.PARTNERSHIPLA.ORG,173,31128437,40,50,37.5,0,,other,3,4,5,5,6,6,6,10,45
223020486,Academy of Managed Care Pharmacy A New Jersey Nonprofit Corporation,Alexandria,VA,1.6721E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10,2,,,,,,8,,,,,6,4,,,,,10,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,52,8,10,,,,,34,,,,,,,,,,,,,,,,,,,,,,396682,302316.6667,-31.21406913,42.85714286,57.14285714,96137.06897,762984,8069628,HTTPS://WWW.AMCP.ORG,65,20779074,60,50,62.5,,,other,5,3,5,0,6,6,10,10,45
